Comment: ,,,
Version: 2.4 [3.0.9089],,,
File Name: C:\Users\Mesa3\Documents\PMizero\20250707\SR-3500_SN20880T4_00032.sed,,,
Instrument: SR-3500_SN20880T4 [3],,,
"Detectors: 512,256,256",,,
Measurement: REFLECTANCE,,,
"Date: 07/07/2025,07/07/2025",,,
"Time: 11:19:15.53,11:19:47.63",,,
"Temperature (C): 29.04,8.81,-5.30,29.28,9.01,-5.30",,,
"Battery Voltage: 7.83,7.86",,,
"Averages: 10,10",,,
"Integration: 3,50,30,20,50,30",,,
"Dark Mode: AUTO,AUTO",,,
"Foreoptic: FIBR15 {RADIANCE},FIBR15 {RADIANCE}",,,
Radiometric Calibration: RADIANCE,,,
Units: W/m^2/sr/nm,,,
"Wavelength Range: 350,2500",,,
Latitude: 31° 28.48198'N,,,
Longitude: 83° 31.59443'W,,,
Altitude: 114.500m,,,
GPS Time: 161811.00,,,
Satellites: 12/14,,,
Calibrated Reference Correction File: none,,,
Channels: 2151,,,
Columns [4]:,,,
Data:,,,
Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,7.87E-02,1.24E-03,1.5553
351,8.12E-02,1.25E-03,1.5551
352,8.42E-02,1.26E-03,1.5548
353,8.64E-02,1.28E-03,1.5543
354,8.75E-02,1.30E-03,1.5539
355,8.81E-02,1.32E-03,1.5533
356,8.83E-02,1.35E-03,1.553
357,8.86E-02,1.38E-03,1.553
358,8.92E-02,1.42E-03,1.5533
359,9.06E-02,1.47E-03,1.5542
360,9.37E-02,1.52E-03,1.5557
361,9.85E-02,1.58E-03,1.5579
362,1.04E-01,1.66E-03,1.5608
363,1.10E-01,1.74E-03,1.5643
364,1.15E-01,1.82E-03,1.5684
365,1.21E-01,1.90E-03,1.5731
366,1.26E-01,1.97E-03,1.5786
367,1.31E-01,2.01E-03,1.585
368,1.33E-01,2.05E-03,1.5922
369,1.34E-01,2.08E-03,1.6001
370,1.31E-01,2.10E-03,1.6089
371,1.28E-01,2.12E-03,1.6185
372,1.25E-01,2.15E-03,1.629
373,1.23E-01,2.18E-03,1.6402
374,1.24E-01,2.21E-03,1.6523
375,1.28E-01,2.25E-03,1.6651
376,1.34E-01,2.27E-03,1.679
377,1.42E-01,2.32E-03,1.6935
378,1.47E-01,2.36E-03,1.7088
379,1.46E-01,2.37E-03,1.7249
380,1.39E-01,2.33E-03,1.7419
381,1.30E-01,2.27E-03,1.7599
382,1.22E-01,2.21E-03,1.7787
383,1.18E-01,2.16E-03,1.7984
384,1.18E-01,2.17E-03,1.8189
385,1.22E-01,2.25E-03,1.8402
386,1.28E-01,2.38E-03,1.8624
387,1.36E-01,2.54E-03,1.8852
388,1.43E-01,2.73E-03,1.9086
389,1.49E-01,2.89E-03,1.9325
390,1.51E-01,2.95E-03,1.957
391,1.49E-01,2.93E-03,1.982
392,1.45E-01,2.89E-03,2.0076
393,1.40E-01,2.83E-03,2.0337
394,1.36E-01,2.81E-03,2.0602
395,1.37E-01,2.87E-03,2.0869
396,1.46E-01,3.09E-03,2.1138
397,1.59E-01,3.42E-03,2.1407
398,1.74E-01,3.79E-03,2.1678
399,1.90E-01,4.18E-03,2.1953
400,2.05E-01,4.58E-03,2.2232
401,2.18E-01,4.93E-03,2.2513
402,2.25E-01,5.14E-03,2.2799
403,2.30E-01,5.30E-03,2.3086
404,2.33E-01,5.43E-03,2.3371
405,2.35E-01,5.52E-03,2.3655
406,2.36E-01,5.61E-03,2.3934
407,2.37E-01,5.71E-03,2.421
408,2.39E-01,5.85E-03,2.4481
409,2.42E-01,5.99E-03,2.4748
410,2.46E-01,6.15E-03,2.5013
411,2.50E-01,6.32E-03,2.5276
412,2.54E-01,6.49E-03,2.5538
413,2.58E-01,6.64E-03,2.5798
414,2.61E-01,6.77E-03,2.6053
415,2.61E-01,6.86E-03,2.6303
416,2.61E-01,6.92E-03,2.6547
417,2.60E-01,6.97E-03,2.6783
418,2.59E-01,7.02E-03,2.7012
419,2.60E-01,7.10E-03,2.7232
420,2.62E-01,7.19E-03,2.7442
