Comment: ,,,
Version: 2.4 [3.0.9089],,,
File Name: C:\Users\Mesa3\Documents\PMizero\20250707\SR-3500_SN20880T4_00012.sed,,,
Instrument: SR-3500_SN20880T4 [3],,,
"Detectors: 512,256,256",,,
Measurement: REFLECTANCE,,,
"Date: 07/07/2025,07/07/2025",,,
"Time: 11:13:10.64,11:13:21.63",,,
"Temperature (C): 26.38,8.94,-5.37,26.38,8.94,-5.37",,,
"Battery Voltage: 7.89,7.86",,,
"Averages: 10,10",,,
"Integration: 3,50,30,40,50,30",,,
"Dark Mode: AUTO,AUTO",,,
"Foreoptic: FIBR15 {RADIANCE},FIBR15 {RADIANCE}",,,
Radiometric Calibration: RADIANCE,,,
Units: W/m^2/sr/nm,,,
"Wavelength Range: 350,2500",,,
Latitude: 31° 28.48186'N,,,
Longitude: 83° 31.58672'W,,,
Altitude: 110.100m,,,
GPS Time: 161233.00,,,
Satellites: 12/14,,,
Calibrated Reference Correction File: none,,,
Channels: 2151,,,
Columns [4]:,,,
Data:,,,
Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,8.04E-02,1.41E-03,1.7252
351,8.29E-02,1.45E-03,1.7252
352,8.61E-02,1.49E-03,1.7251
353,8.84E-02,1.52E-03,1.7251
354,8.97E-02,1.54E-03,1.725
355,9.03E-02,1.55E-03,1.7249
356,9.06E-02,1.55E-03,1.7251
357,9.09E-02,1.56E-03,1.7256
358,9.15E-02,1.58E-03,1.7266
359,9.29E-02,1.61E-03,1.7283
360,9.60E-02,1.67E-03,1.7308
361,1.01E-01,1.75E-03,1.734
362,1.07E-01,1.86E-03,1.7378
363,1.13E-01,1.96E-03,1.7422
364,1.18E-01,2.07E-03,1.747
365,1.24E-01,2.17E-03,1.7525
366,1.29E-01,2.27E-03,1.7588
367,1.34E-01,2.36E-03,1.766
368,1.37E-01,2.42E-03,1.7741
369,1.38E-01,2.44E-03,1.7831
370,1.36E-01,2.42E-03,1.793
371,1.32E-01,2.37E-03,1.804
372,1.29E-01,2.33E-03,1.8157
373,1.27E-01,2.33E-03,1.8282
374,1.28E-01,2.37E-03,1.8412
375,1.32E-01,2.46E-03,1.8549
376,1.38E-01,2.58E-03,1.8693
377,1.46E-01,2.74E-03,1.8841
378,1.51E-01,2.86E-03,1.8994
379,1.51E-01,2.88E-03,1.9153
380,1.45E-01,2.78E-03,1.9319
381,1.35E-01,2.63E-03,1.9491
382,1.27E-01,2.50E-03,1.967
383,1.22E-01,2.45E-03,1.9854
384,1.22E-01,2.47E-03,2.0044
385,1.26E-01,2.56E-03,2.0239
386,1.32E-01,2.70E-03,2.0437
387,1.40E-01,2.89E-03,2.0634
388,1.48E-01,3.07E-03,2.0831
389,1.55E-01,3.23E-03,2.1024
390,1.57E-01,3.30E-03,2.1217
391,1.55E-01,3.29E-03,2.1408
392,1.51E-01,3.24E-03,2.1599
393,1.46E-01,3.16E-03,2.1787
394,1.42E-01,3.12E-03,2.1972
395,1.42E-01,3.17E-03,2.2153
396,1.51E-01,3.39E-03,2.2329
397,1.65E-01,3.74E-03,2.2502
398,1.80E-01,4.12E-03,2.2674
399,1.96E-01,4.52E-03,2.2847
400,2.11E-01,4.90E-03,2.3024
401,2.24E-01,5.23E-03,2.3203
402,2.31E-01,5.40E-03,2.3386
403,2.36E-01,5.54E-03,2.3571
404,2.40E-01,5.66E-03,2.3755
405,2.42E-01,5.76E-03,2.3939
406,2.44E-01,5.85E-03,2.4123
407,2.46E-01,5.94E-03,2.4308
408,2.48E-01,6.05E-03,2.4493
409,2.51E-01,6.18E-03,2.4681
410,2.54E-01,6.32E-03,2.4875
411,2.58E-01,6.49E-03,2.5078
412,2.63E-01,6.66E-03,2.5289
413,2.67E-01,6.82E-03,2.5507
414,2.70E-01,6.95E-03,2.5734
415,2.71E-01,7.03E-03,2.5971
416,2.70E-01,7.09E-03,2.622
417,2.69E-01,7.13E-03,2.6479
418,2.69E-01,7.18E-03,2.6745
419,2.70E-01,7.28E-03,2.7014
420,2.71E-01,7.40E-03,2.7286
421,2.73E-01,7.50E-03,2.7559
422,2.72E-01,7.57E-03,2.7833
423,2.71E-01,7.61E-03,2.8108
424,2.69E-01,7.64E-03,2.8387
425,2.69E-01,7.71E-03,2.8671
426,2.68E-01,7.75E-03,2.8959
427,2.64E-01,7.72E-03,2.9252
428,2.56E-01,7.56E-03,2.9547
429,2.44E-01,7.26E-03,2.9845
430,2.38E-01,7.17E-03,3.0147
431,2.44E-01,7.45E-03,3.0451
432,2.60E-01,8.01E-03,3.0757
433,2.73E-01,8.49E-03,3.1063
434,2.82E-01,8.84E-03,3.1371
435,2.90E-01,9.18E-03,3.168
436,2.95E-01,9.44E-03,3.1988
437,2.96E-01,9.54E-03,3.2296
438,2.92E-01,9.51E-03,3.2604
439,2.91E-01,9.59E-03,3.2911
440,2.98E-01,9.89E-03,3.3218
441,3.08E-01,1.03E-02,3.3523
442,3.17E-01,1.07E-02,3.3825
443,3.23E-01,1.10E-02,3.4123
444,3.24E-01,1.11E-02,3.4417
445,3.23E-01,1.12E-02,3.4709
446,3.26E-01,1.14E-02,3.4996
447,3.32E-01,1.17E-02,3.5279
448,3.41E-01,1.21E-02,3.5559
449,3.49E-01,1.25E-02,3.5838
450,3.53E-01,1.27E-02,3.6113
451,3.51E-01,1.28E-02,3.6382
452,3.45E-01,1.26E-02,3.6645
453,3.39E-01,1.25E-02,3.6904
454,3.41E-01,1.27E-02,3.7159
455,3.46E-01,1.29E-02,3.7409
456,3.52E-01,1.32E-02,3.7656
457,3.54E-01,1.34E-02,3.7899
458,3.54E-01,1.35E-02,3.8141
459,3.53E-01,1.35E-02,3.8383
460,3.56E-01,1.37E-02,3.8624
461,3.60E-01,1.40E-02,3.8865
462,3.63E-01,1.42E-02,3.9105
463,3.62E-01,1.42E-02,3.9346
464,3.59E-01,1.42E-02,3.9588
465,3.55E-01,1.41E-02,3.9829
466,3.53E-01,1.41E-02,4.0068
467,3.53E-01,1.42E-02,4.031
468,3.54E-01,1.43E-02,4.0554
469,3.54E-01,1.44E-02,4.0798
470,3.54E-01,1.45E-02,4.1042
471,3.57E-01,1.48E-02,4.1288
472,3.63E-01,1.51E-02,4.1541
473,3.68E-01,1.54E-02,4.1798
474,3.70E-01,1.55E-02,4.2059
475,3.66E-01,1.55E-02,4.2323
