Comment: ,,,
Version: 2.4 [3.0.9089],,,
File Name: C:\Users\Mesa3\Documents\PMizero\20250707\SR-3500_SN20880T4_00045.sed,,,
Instrument: SR-3500_SN20880T4 [3],,,
"Detectors: 512,256,256",,,
Measurement: REFLECTANCE,,,
"Date: 07/07/2025,07/07/2025",,,
"Time: 11:23:02.35,11:24:35.19",,,
"Temperature (C): 30.57,9.08,-5.30,31.21,9.08,-5.30",,,
"Battery Voltage: 7.83,7.78",,,
"Averages: 10,10",,,
"Integration: 4,50,30,40,50,30",,,
"Dark Mode: AUTO,AUTO",,,
"Foreoptic: FIBR15 {RADIANCE},FIBR15 {RADIANCE}",,,
Radiometric Calibration: RADIANCE,,,
Units: W/m^2/sr/nm,,,
"Wavelength Range: 350,2500",,,
Latitude: 31° 28.48203'N,,,
Longitude: 83° 31.58853'W,,,
Altitude: 114.600m,,,
GPS Time: 162345.00,,,
Satellites: 12/14,,,
Calibrated Reference Correction File: none,,,
Channels: 2151,,,
Columns [4]:,,,
Data:,,,
Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,6.03E-02,1.03E-03,1.6768
351,6.22E-02,1.03E-03,1.6762
352,6.44E-02,1.05E-03,1.6753
353,6.60E-02,1.06E-03,1.674
354,6.68E-02,1.08E-03,1.6723
355,6.72E-02,1.10E-03,1.6703
356,6.73E-02,1.11E-03,1.6683
357,6.75E-02,1.13E-03,1.6663
358,6.79E-02,1.15E-03,1.6645
359,6.90E-02,1.17E-03,1.663
360,7.14E-02,1.21E-03,1.6618
361,7.50E-02,1.25E-03,1.661
362,7.93E-02,1.31E-03,1.6602
363,8.36E-02,1.38E-03,1.6595
364,8.76E-02,1.45E-03,1.6591
365,9.16E-02,1.52E-03,1.6591
366,9.55E-02,1.58E-03,1.6599
367,9.89E-02,1.63E-03,1.6617
368,1.01E-01,1.66E-03,1.6646
369,1.01E-01,1.66E-03,1.6688
370,9.91E-02,1.65E-03,1.6743
371,9.63E-02,1.62E-03,1.6813
372,9.39E-02,1.60E-03,1.6894
373,9.28E-02,1.60E-03,1.6987
374,9.36E-02,1.63E-03,1.7094
375,9.65E-02,1.69E-03,1.7215
376,1.01E-01,1.76E-03,1.7353
377,1.06E-01,1.86E-03,1.7507
378,1.10E-01,1.92E-03,1.7678
379,1.09E-01,1.92E-03,1.7873
380,1.04E-01,1.86E-03,1.8091
381,9.67E-02,1.77E-03,1.8324
382,9.09E-02,1.70E-03,1.8569
383,8.82E-02,1.67E-03,1.8827
384,8.83E-02,1.70E-03,1.9101
385,9.09E-02,1.78E-03,1.9397
386,9.54E-02,1.89E-03,1.972
387,1.01E-01,2.04E-03,2.0074
388,1.07E-01,2.19E-03,2.0458
389,1.11E-01,2.31E-03,2.0867
390,1.12E-01,2.37E-03,2.1295
391,1.11E-01,2.38E-03,2.1741
392,1.08E-01,2.36E-03,2.2204
393,1.04E-01,2.33E-03,2.2683
394,1.01E-01,2.33E-03,2.3175
395,1.02E-01,2.41E-03,2.3677
396,1.08E-01,2.60E-03,2.4189
397,1.18E-01,2.89E-03,2.471
398,1.29E-01,3.24E-03,2.5241
399,1.41E-01,3.63E-03,2.5783
400,1.52E-01,4.04E-03,2.6335
401,1.62E-01,4.42E-03,2.6893
402,1.67E-01,4.67E-03,2.7454
403,1.70E-01,4.83E-03,2.8009
404,1.72E-01,4.93E-03,2.8555
405,1.73E-01,5.01E-03,2.9086
406,1.74E-01,5.11E-03,2.96
407,1.75E-01,5.23E-03,3.0095
408,1.76E-01,5.38E-03,3.0571
409,1.78E-01,5.53E-03,3.1029
410,1.81E-01,5.70E-03,3.147
411,1.84E-01,5.88E-03,3.1892
412,1.87E-01,6.06E-03,3.2295
413,1.90E-01,6.22E-03,3.2682
414,1.91E-01,6.34E-03,3.3051
415,1.92E-01,6.43E-03,3.3397
416,1.91E-01,6.47E-03,3.3714
417,1.90E-01,6.50E-03,3.4007
418,1.90E-01,6.52E-03,3.4285
419,1.91E-01,6.58E-03,3.4553
420,1.92E-01,6.65E-03,3.4808
421,1.92E-01,6.72E-03,3.5038
422,1.92E-01,6.75E-03,3.5239
423,1.91E-01,6.76E-03,3.5416
424,1.90E-01,6.77E-03,3.5572
425,1.90E-01,6.79E-03,3.571
426,1.89E-01,6.78E-03,3.5832
427,1.86E-01,6.69E-03,3.5941
428,1.79E-01,6.50E-03,3.604
429,1.71E-01,6.23E-03,3.6129
430,1.68E-01,6.12E-03,3.6214
431,1.74E-01,6.29E-03,3.6293
432,1.85E-01,6.68E-03,3.6361
433,1.93E-01,7.01E-03,3.6411
434,1.99E-01,7.24E-03,3.6448
435,2.04E-01,7.43E-03,3.6484
436,2.08E-01,7.55E-03,3.6526
437,2.07E-01,7.56E-03,3.6573
438,2.04E-01,7.51E-03,3.6624
439,2.05E-01,7.53E-03,3.6677
440,2.09E-01,7.70E-03,3.6734
441,2.17E-01,7.93E-03,3.6796
442,2.23E-01,8.14E-03,3.6864
443,2.26E-01,8.29E-03,3.6938
444,2.26E-01,8.36E-03,3.7015
445,2.26E-01,8.38E-03,3.7095
446,2.27E-01,8.43E-03,3.718
447,2.32E-01,8.57E-03,3.7273
448,2.37E-01,8.78E-03,3.7365
449,2.43E-01,9.02E-03,3.7448
450,2.45E-01,9.20E-03,3.7523
451,2.44E-01,9.25E-03,3.7593
452,2.40E-01,9.16E-03,3.766
453,2.37E-01,9.03E-03,3.7722
454,2.38E-01,9.03E-03,3.7782
455,2.41E-01,9.15E-03,3.7845
456,2.45E-01,9.26E-03,3.7904
457,2.46E-01,9.32E-03,3.7942
458,2.46E-01,9.33E-03,3.794
459,2.45E-01,9.31E-03,3.7904
460,2.47E-01,9.37E-03,3.7853
