Comment: ,,,
Version: 2.4 [3.0.9089],,,
File Name: C:\Users\Mesa3\Documents\PMizero\20250707\SR-3500_SN20880T4_00053.sed,,,
Instrument: SR-3500_SN20880T4 [3],,,
"Detectors: 512,256,256",,,
Measurement: REFLECTANCE,,,
"Date: 07/07/2025,07/07/2025",,,
"Time: 11:23:02.35,11:27:22.04",,,
"Temperature (C): 30.57,9.08,-5.30,32.26,9.01,-5.30",,,
"Battery Voltage: 7.83,7.75",,,
"Averages: 10,10",,,
"Integration: 4,50,30,20,50,30",,,
"Dark Mode: AUTO,AUTO",,,
"Foreoptic: FIBR15 {RADIANCE},FIBR15 {RADIANCE}",,,
Radiometric Calibration: RADIANCE,,,
Units: W/m^2/sr/nm,,,
"Wavelength Range: 350,2500",,,
Latitude: 31° 28.48136'N,,,
Longitude: 83° 31.58603'W,,,
Altitude: 112.200m,,,
GPS Time: 162632.00,,,
Satellites: 12/14,,,
Calibrated Reference Correction File: none,,,
Channels: 2151,,,
Columns [4]:,,,
Data:,,,
Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,6.03E-02,8.23E-04,1.3516
351,6.22E-02,8.30E-04,1.3517
352,6.44E-02,8.39E-04,1.3518
353,6.60E-02,8.51E-04,1.3518
354,6.68E-02,8.66E-04,1.3517
355,6.72E-02,8.84E-04,1.3513
356,6.73E-02,9.04E-04,1.3508
357,6.75E-02,9.28E-04,1.3502
358,6.79E-02,9.56E-04,1.3498
359,6.90E-02,9.86E-04,1.3496
360,7.14E-02,1.02E-03,1.3497
361,7.50E-02,1.06E-03,1.3503
362,7.93E-02,1.10E-03,1.3513
363,8.36E-02,1.15E-03,1.3525
364,8.76E-02,1.20E-03,1.3541
365,9.16E-02,1.24E-03,1.3559
366,9.55E-02,1.28E-03,1.3582
367,9.89E-02,1.31E-03,1.3611
368,1.01E-01,1.33E-03,1.3652
369,1.01E-01,1.35E-03,1.3705
370,9.91E-02,1.36E-03,1.3771
371,9.63E-02,1.37E-03,1.385
372,9.39E-02,1.39E-03,1.3941
373,9.28E-02,1.41E-03,1.4042
374,9.36E-02,1.43E-03,1.4152
375,9.65E-02,1.45E-03,1.427
376,1.01E-01,1.46E-03,1.4396
377,1.06E-01,1.49E-03,1.4532
378,1.10E-01,1.52E-03,1.4679
379,1.09E-01,1.52E-03,1.484
380,1.04E-01,1.50E-03,1.5016
381,9.67E-02,1.46E-03,1.5206
382,9.09E-02,1.43E-03,1.5406
383,8.82E-02,1.40E-03,1.5617
384,8.83E-02,1.42E-03,1.5841
385,9.09E-02,1.47E-03,1.6081
386,9.54E-02,1.56E-03,1.6338
387,1.01E-01,1.68E-03,1.6615
388,1.07E-01,1.81E-03,1.6908
389,1.11E-01,1.91E-03,1.7214
390,1.12E-01,1.96E-03,1.7532
391,1.11E-01,1.95E-03,1.786
392,1.08E-01,1.93E-03,1.8199
393,1.04E-01,1.90E-03,1.8549
394,1.01E-01,1.90E-03,1.8908
395,1.02E-01,1.96E-03,1.9274
396,1.08E-01,2.12E-03,1.9644
397,1.18E-01,2.36E-03,2.0017
398,1.29E-01,2.63E-03,2.0396
399,1.41E-01,2.94E-03,2.0782
400,1.52E-01,3.25E-03,2.1173
401,1.62E-01,3.54E-03,2.1568
402,1.67E-01,3.72E-03,2.1965
403,1.70E-01,3.84E-03,2.236
404,1.72E-01,3.92E-03,2.275
405,1.73E-01,3.98E-03,2.3132
406,1.74E-01,4.05E-03,2.3504
407,1.75E-01,4.14E-03,2.3864
408,1.76E-01,4.25E-03,2.421
409,1.78E-01,4.37E-03,2.4545
410,1.81E-01,4.50E-03,2.4869
411,1.84E-01,4.63E-03,2.5183
412,1.87E-01,4.77E-03,2.5483
413,1.90E-01,4.88E-03,2.5771
414,1.91E-01,4.98E-03,2.6047
415,1.92E-01,5.05E-03,2.631
416,1.91E-01,5.09E-03,2.656
417,1.90E-01,5.12E-03,2.6799
418,1.90E-01,5.15E-03,2.7029
419,1.91E-01,5.21E-03,2.725
420,1.92E-01,5.26E-03,2.7462
421,1.92E-01,5.31E-03,2.7655
422,1.92E-01,5.34E-03,2.7826
423,1.91E-01,5.34E-03,2.7977
424,1.90E-01,5.36E-03,2.8111
425,1.90E-01,5.37E-03,2.8232
426,1.89E-01,5.36E-03,2.8341
427,1.86E-01,5.28E-03,2.8439
428,1.79E-01,5.12E-03,2.8526
429,1.71E-01,4.90E-03,2.8605
430,1.68E-01,4.84E-03,2.8678
431,1.74E-01,5.01E-03,2.8744
432,1.85E-01,5.32E-03,2.8803
433,1.93E-01,5.57E-03,2.8851
434,1.99E-01,5.76E-03,2.8892
435,2.04E-01,5.90E-03,2.8929
436,2.08E-01,5.98E-03,2.8968
437,2.07E-01,5.98E-03,2.9012
438,2.04E-01,5.97E-03,2.9061
439,2.05E-01,6.03E-03,2.9115
440,2.09E-01,6.15E-03,2.9173
441,2.17E-01,6.29E-03,2.9237
442,2.23E-01,6.42E-03,2.9308
443,2.26E-01,6.55E-03,2.9384
444,2.26E-01,6.63E-03,2.9464
445,2.26E-01,6.67E-03,2.9547
446,2.27E-01,6.73E-03,2.9632
447,2.32E-01,6.85E-03,2.9722
448,2.37E-01,7.03E-03,2.9818
449,2.43E-01,7.22E-03,2.9914
450,2.45E-01,7.35E-03,3.0005
451,2.44E-01,7.38E-03,3.0093
452,2.40E-01,7.30E-03,3.0177
453,2.37E-01,7.26E-03,3.0259
454,2.38E-01,7.30E-03,3.0334
455,2.41E-01,7.37E-03,3.0406
456,2.45E-01,7.42E-03,3.047
457,2.46E-01,7.46E-03,3.0518
458,2.46E-01,7.52E-03,3.0543
459,2.45E-01,7.58E-03,3.0546
460,2.47E-01,7.60E-03,3.0537
461,2.50E-01,7.64E-03,3.0534
462,2.52E-01,7.66E-03,3.0541
463,2.51E-01,7.65E-03,3.0551
464,2.48E-01,7.60E-03,3.0559
465,2.46E-01,7.55E-03,3.0561
466,2.45E-01,7.49E-03,3.0556
467,2.44E-01,7.46E-03,3.0548
468,2.45E-01,7.45E-03,3.0542
469,2.45E-01,7.45E-03,3.0539
470,2.45E-01,7.44E-03,3.0541
471,2.46E-01,7.47E-03,3.0547
472,2.50E-01,7.53E-03,3.0555
473,2.52E-01,7.57E-03,3.0566
474,2.52E-01,7.62E-03,3.0578
475,2.51E-01,7.67E-03,3.0593
476,2.50E-01,7.74E-03,3.0611
477,2.50E-01,7.82E-03,3.0632
478,2.52E-01,7.87E-03,3.0657
479,2.55E-01,7.91E-03,3.0686
480,2.57E-01,7.92E-03,3.0719
481,2.58E-01,7.93E-03,3.0755
482,2.57E-01,7.91E-03,3.0795
483,2.54E-01,7.81E-03,3.0839
484,2.45E-01,7.56E-03,3.0887
485,2.36E-01,7.28E-03,3.0941
486,2.28E-01,7.08E-03,3.1
487,2.31E-01,7.16E-03,3.1063
488,2.37E-01,7.38E-03,3.1133
489,2.45E-01,7.63E-03,3.1208
490,2.47E-01,7.71E-03,3.1285
491,2.46E-01,7.72E-03,3.1366
492,2.44E-01,7.73E-03,3.1463
493,2.46E-01,7.80E-03,3.1592
494,2.49E-01,7.93E-03,3.1759
495,2.51E-01,8.04E-03,3.1963
496,2.51E-01,8.09E-03,3.2192
497,2.49E-01,8.09E-03,3.2443
498,2.47E-01,8.08E-03,3.2715
499,2.44E-01,8.06E-03,3.3012
500,2.41E-01,8.04E-03,3.3338
501,2.39E-01,8.05E-03,3.3699
502,2.38E-01,8.12E-03,3.4101
503,2.39E-01,8.25E-03,3.4552
504,2.41E-01,8.46E-03,3.5056
505,2.44E-01,8.68E-03,3.56
506,2.45E-01,8.86E-03,3.6188
507,2.44E-01,9.00E-03,3.6832
508,2.44E-01,9.16E-03,3.7528
509,2.44E-01,9.37E-03,3.8302
510,2.46E-01,9.60E-03,3.9141
511,2.46E-01,9.82E-03,4.0047
512,2.44E-01,9.98E-03,4.1022
513,2.41E-01,1.01E-02,4.2067
514,2.39E-01,1.03E-02,4.3182
515,2.34E-01,1.03E-02,4.4367
516,2.27E-01,1.03E-02,4.5625
517,2.21E-01,1.03E-02,4.6949
518,2.22E-01,1.07E-02,4.839
519,2.29E-01,1.14E-02,4.9868
520,2.35E-01,1.20E-02,5.1381
521,2.38E-01,1.25E-02,5.2883
522,2.40E-01,1.30E-02,5.4337
523,2.42E-01,1.35E-02,5.5828
524,2.42E-01,1.39E-02,5.7333
525,2.41E-01,1.41E-02,5.8844
526,2.36E-01,1.43E-02,6.0323
527,2.36E-01,1.46E-02,6.1771
528,2.40E-01,1.52E-02,6.3155
529,2.47E-01,1.60E-02,6.4494
530,2.50E-01,1.64E-02,6.5688
531,2.48E-01,1.66E-02,6.6777
532,2.45E-01,1.67E-02,6.7764
533,2.44E-01,1.68E-02,6.8643
534,2.45E-01,1.71E-02,6.9484
535,2.48E-01,1.74E-02,7.0254
536,2.48E-01,1.76E-02,7.0966
537,2.47E-01,1.76E-02,7.1616
538,2.44E-01,1.76E-02,7.2229
539,2.41E-01,1.75E-02,7.2808
540,2.39E-01,1.75E-02,7.3366
541,2.37E-01,1.75E-02,7.3858
542,2.39E-01,1.77E-02,7.4301
543,2.41E-01,1.80E-02,7.4698
544,2.43E-01,1.81E-02,7.5053
545,2.43E-01,1.82E-02,7.5371
546,2.43E-01,1.83E-02,7.5655
547,2.42E-01,1.83E-02,7.5895
548,2.42E-01,1.84E-02,7.6075
549,2.43E-01,1.85E-02,7.6231
550,2.44E-01,1.86E-02,7.6356
551,2.43E-01,1.86E-02,7.6426
552,2.43E-01,1.86E-02,7.6436
553,2.43E-01,1.86E-02,7.6409
554,2.44E-01,1.87E-02,7.6325
555,2.43E-01,1.86E-02,7.6172
556,2.41E-01,1.83E-02,7.5938
557,2.38E-01,1.80E-02,7.562
558,2.36E-01,1.77E-02,7.5216
559,2.35E-01,1.75E-02,7.4725
560,2.35E-01,1.75E-02,7.4151
561,2.37E-01,1.74E-02,7.3495
562,2.38E-01,1.74E-02,7.2725
563,2.38E-01,1.71E-02,7.1883
564,2.37E-01,1.69E-02,7.1006
565,2.36E-01,1.66E-02,7.0042
566,2.35E-01,1.63E-02,6.9044
567,2.34E-01,1.60E-02,6.8025
568,2.33E-01,1.56E-02,6.7003
569,2.31E-01,1.52E-02,6.5982
570,2.29E-01,1.49E-02,6.4955
571,2.30E-01,1.47E-02,6.393
572,2.32E-01,1.45E-02,6.2916
573,2.35E-01,1.44E-02,6.1874
574,2.34E-01,1.42E-02,6.084
575,2.33E-01,1.39E-02,5.9887
576,2.32E-01,1.36E-02,5.8977
577,2.32E-01,1.34E-02,5.8116
578,2.32E-01,1.32E-02,5.7307
579,2.32E-01,1.31E-02,5.6548
580,2.34E-01,1.30E-02,5.5845
581,2.36E-01,1.30E-02,5.5198
582,2.38E-01,1.30E-02,5.4637
583,2.38E-01,1.29E-02,5.4115
584,2.37E-01,1.27E-02,5.3605
585,2.34E-01,1.24E-02,5.3143
586,2.31E-01,1.22E-02,5.2724
587,2.25E-01,1.18E-02,5.2346
588,2.16E-01,1.12E-02,5.2009
589,2.07E-01,1.07E-02,5.1706
590,2.07E-01,1.07E-02,5.1431
591,2.11E-01,1.08E-02,5.1182
592,2.15E-01,1.10E-02,5.0951
593,2.16E-01,1.09E-02,5.0732
594,2.16E-01,1.09E-02,5.0525
595,2.17E-01,1.09E-02,5.032
596,2.19E-01,1.10E-02,5.0114
597,2.21E-01,1.10E-02,4.9904
598,2.22E-01,1.10E-02,4.9686
599,2.23E-01,1.10E-02,4.9457
600,2.23E-01,1.10E-02,4.9216
601,2.24E-01,1.10E-02,4.8958
602,2.25E-01,1.10E-02,4.8682
603,2.27E-01,1.11E-02,4.8388
604,2.29E-01,1.11E-02,4.8073
605,2.29E-01,1.10E-02,4.7739
606,2.28E-01,1.09E-02,4.7386
607,2.27E-01,1.07E-02,4.7017
608,2.26E-01,1.06E-02,4.6633
