Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
501,5.41E-01,2.18E-02,4.0279
502,5.40E-01,2.19E-02,4.0603
503,5.43E-01,2.22E-02,4.0957
504,5.49E-01,2.27E-02,4.1342
505,5.55E-01,2.32E-02,4.1755
506,5.58E-01,2.35E-02,4.2199
507,5.56E-01,2.37E-02,4.2678
508,5.55E-01,2.39E-02,4.3193
509,5.57E-01,2.43E-02,4.3748
510,5.60E-01,2.48E-02,4.4345
511,5.60E-01,2.51E-02,4.4981
512,5.56E-01,2.53E-02,4.5656
513,5.49E-01,2.53E-02,4.637
514,5.43E-01,2.55E-02,4.7122
515,5.32E-01,2.54E-02,4.7912
516,5.16E-01,2.50E-02,4.8738
517,5.03E-01,2.49E-02,4.9596
518,5.07E-01,2.55E-02,5.048
519,5.22E-01,2.67E-02,5.1385
520,5.36E-01,2.79E-02,5.2304
521,5.44E-01,2.89E-02,5.3233
522,5.47E-01,2.96E-02,5.4167
523,5.52E-01,3.04E-02,5.5095
524,5.53E-01,3.10E-02,5.6014
525,5.49E-01,3.14E-02,5.692
526,5.38E-01,3.12E-02,5.7808
527,5.39E-01,3.18E-02,5.8673
528,5.49E-01,3.29E-02,5.9553
529,5.66E-01,3.43E-02,6.0405
530,5.71E-01,3.51E-02,6.1177
531,5.68E-01,3.53E-02,6.1908
532,5.61E-01,3.53E-02,6.2598
533,5.59E-01,3.55E-02,6.3244
534,5.62E-01,3.59E-02,6.3811
535,5.67E-01,3.66E-02,6.4349
536,5.67E-01,3.68E-02,6.4885
537,5.65E-01,3.69E-02,6.5385
538,5.60E-01,3.68E-02,6.585
539,5.53E-01,3.66E-02,6.6284
540,5.48E-01,3.65E-02,6.6687
541,5.46E-01,3.65E-02,6.7065
542,5.50E-01,3.70E-02,6.7418
543,5.55E-01,3.75E-02,6.7748
544,5.58E-01,3.79E-02,6.8051
545,5.60E-01,3.81E-02,6.8329
546,5.59E-01,3.82E-02,6.8583
547,5.57E-01,3.82E-02,6.8808
548,5.57E-01,3.84E-02,6.901
549,5.59E-01,3.86E-02,6.9187
550,5.61E-01,3.89E-02,6.9333
551,5.60E-01,3.89E-02,6.9445
552,5.60E-01,3.90E-02,6.9534
553,5.61E-01,3.91E-02,6.9592
554,5.62E-01,3.92E-02,6.9592
555,5.61E-01,3.91E-02,6.9548
556,5.56E-01,3.87E-02,6.9459
557,5.49E-01,3.82E-02,6.9323
558,5.44E-01,3.77E-02,6.9135
559,5.42E-01,3.74E-02,6.8852
560,5.44E-01,3.74E-02,6.8518
561,5.48E-01,3.74E-02,6.8182
562,5.51E-01,3.74E-02,6.7799
563,5.51E-01,3.72E-02,6.7374
564,5.49E-01,3.68E-02,6.691
565,5.47E-01,3.64E-02,6.6413
566,5.45E-01,3.60E-02,6.5888
567,5.44E-01,3.55E-02,6.5339
568,5.41E-01,3.50E-02,6.4774
569,5.37E-01,3.45E-02,6.4202
570,5.35E-01,3.40E-02,6.3626
571,5.37E-01,3.38E-02,6.3051
572,5.42E-01,3.38E-02,6.2483
573,5.48E-01,3.38E-02,6.1931
574,5.46E-01,3.34E-02,6.1394
575,5.43E-01,3.30E-02,6.0872
576,5.42E-01,3.26E-02,6.0371
577,5.41E-01,3.23E-02,5.9892
578,5.41E-01,3.20E-02,5.9438
579,5.42E-01,3.19E-02,5.9013
580,5.47E-01,3.20E-02,5.8618
581,5.51E-01,3.20E-02,5.8253
582,5.54E-01,3.21E-02,5.7919
583,5.55E-01,3.20E-02,5.7615
584,5.53E-01,3.17E-02,5.7339
585,5.47E-01,3.13E-02,5.7091
586,5.42E-01,3.08E-02,5.687
587,5.28E-01,3.00E-02,5.6672
588,5.11E-01,2.89E-02,5.6497
589,4.94E-01,2.79E-02,5.6341
590,4.95E-01,2.78E-02,5.6201
591,5.04E-01,2.82E-02,5.6076
592,5.14E-01,2.87E-02,5.5963
593,5.15E-01,2.87E-02,5.5858
594,5.15E-01,2.87E-02,5.5759
595,5.16E-01,2.87E-02,5.5662
596,5.20E-01,2.89E-02,5.5562
597,5.23E-01,2.90E-02,5.5458
598,5.25E-01,2.91E-02,5.5349
599,5.26E-01,2.91E-02,5.5234
600,5.27E-01,2.91E-02,5.511
601,5.27E-01,2.90E-02,5.4976
602,5.29E-01,2.91E-02,5.483
603,5.34E-01,2.93E-02,5.4672
604,5.37E-01,2.94E-02,5.4501
605,5.38E-01,2.94E-02,5.4317
606,5.37E-01,2.92E-02,5.4125
607,5.34E-01,2.89E-02,5.3923
608,5.32E-01,2.86E-02,5.3707
609,5.29E-01,2.83E-02,5.348
610,5.27E-01,2.81E-02,5.3249
611,5.25E-01,2.79E-02,5.3014
612,5.23E-01,2.76E-02,5.2775
613,5.21E-01,2.74E-02,5.2537
614,5.18E-01,2.71E-02,5.23
615,5.14E-01,2.67E-02,5.2068
616,5.12E-01,2.65E-02,5.1845
617,5.13E-01,2.64E-02,5.1633
618,5.17E-01,2.65E-02,5.1434
619,5.23E-01,2.67E-02,5.1251
620,5.24E-01,2.67E-02,5.1085
621,5.23E-01,2.66E-02,5.094
622,5.20E-01,2.64E-02,5.0816
623,5.15E-01,2.61E-02,5.0712
624,5.12E-01,2.59E-02,5.0626
625,5.09E-01,2.57E-02,5.0557
626,5.08E-01,2.56E-02,5.0501
627,5.06E-01,2.55E-02,5.0455
628,5.04E-01,2.54E-02,5.0416
629,5.02E-01,2.52E-02,5.0378
630,5.01E-01,2.52E-02,5.0338
631,5.01E-01,2.52E-02,5.0297
632,5.03E-01,2.53E-02,5.0251
633,5.05E-01,2.54E-02,5.0194
634,5.06E-01,2.54E-02,5.0125
635,5.07E-01,2.55E-02,5.0042
636,5.09E-01,2.55E-02,4.9943
637,5.11E-01,2.56E-02,4.983
638,5.11E-01,2.56E-02,4.9702
639,5.10E-01,2.54E-02,4.9562
640,5.06E-01,2.51E-02,4.9414
641,5.04E-01,2.49E-02,4.9257
642,5.05E-01,2.48E-02,4.9092
643,5.06E-01,2.47E-02,4.8916
644,5.04E-01,2.45E-02,4.8731
645,4.98E-01,2.41E-02,4.8535
646,4.90E-01,2.36E-02,4.8332
647,4.83E-01,2.32E-02,4.8122
648,4.78E-01,2.29E-02,4.7902
649,4.78E-01,2.27E-02,4.7675
650,4.81E-01,2.27E-02,4.7441
651,4.86E-01,2.29E-02,4.7201
652,4.89E-01,2.29E-02,4.6956
653,4.88E-01,2.28E-02,4.6709
654,4.79E-01,2.23E-02,4.646
655,4.62E-01,2.15E-02,4.6212
656,4.48E-01,2.08E-02,4.5966
657,4.52E-01,2.08E-02,4.572
658,4.73E-01,2.16E-02,4.5475
659,4.89E-01,2.22E-02,4.5233
660,4.96E-01,2.24E-02,4.4992
661,5.01E-01,2.25E-02,4.4755
662,5.02E-01,2.24E-02,4.4522
663,5.02E-01,2.22E-02,4.4295
664,5.01E-01,2.20E-02,4.4075
665,5.01E-01,2.19E-02,4.3864
666,5.01E-01,2.18E-02,4.3659
667,5.01E-01,2.17E-02,4.3465
668,5.01E-01,2.16E-02,4.3284
669,5.01E-01,2.16E-02,4.3116
670,5.00E-01,2.15E-02,4.296
671,4.97E-01,2.13E-02,4.283
672,4.97E-01,2.13E-02,4.2738
673,4.97E-01,2.13E-02,4.2687
674,4.98E-01,2.13E-02,4.2674
675,4.97E-01,2.13E-02,4.2696
676,4.97E-01,2.14E-02,4.2751
677,4.97E-01,2.14E-02,4.2838
678,4.96E-01,2.14E-02,4.2998
679,4.96E-01,2.15E-02,4.3204
680,4.95E-01,2.15E-02,4.3447
681,4.94E-01,2.16E-02,4.3739
682,4.92E-01,2.17E-02,4.4077
683,4.90E-01,2.17E-02,4.4475
684,4.86E-01,2.18E-02,4.493
685,4.74E-01,2.15E-02,4.5469
686,4.48E-01,2.07E-02,4.61
687,4.23E-01,1.99E-02,4.682
688,4.15E-01,1.99E-02,4.7655
689,4.22E-01,2.05E-02,4.8582
690,4.33E-01,2.14E-02,4.9601
691,4.39E-01,2.22E-02,5.0686
692,4.38E-01,2.27E-02,5.189
693,4.32E-01,2.30E-02,5.3308
694,4.27E-01,2.34E-02,5.4895
695,4.32E-01,2.45E-02,5.6609
696,4.42E-01,2.58E-02,5.843
697,4.51E-01,2.72E-02,6.0405
698,4.50E-01,2.82E-02,6.2605
699,4.42E-01,2.88E-02,6.511
700,4.34E-01,2.94E-02,6.7776
701,4.31E-01,3.04E-02,7.0581
702,4.33E-01,3.18E-02,7.3463
703,4.39E-01,3.35E-02,7.6415
704,4.45E-01,3.54E-02,7.9507
705,4.49E-01,3.70E-02,8.2652
706,4.51E-01,3.87E-02,8.5911
707,4.53E-01,4.04E-02,8.9274
708,4.55E-01,4.21E-02,9.2781
709,4.56E-01,4.40E-02,9.6365
710,4.57E-01,4.57E-02,10.0115
711,4.57E-01,4.75E-02,10.401
712,4.56E-01,4.93E-02,10.8265
713,4.53E-01,5.10E-02,11.261
714,4.49E-01,5.25E-02,11.6959
715,4.32E-01,5.24E-02,12.1505
716,4.00E-01,5.05E-02,12.6346
717,3.60E-01,4.74E-02,13.1706
718,3.24E-01,4.45E-02,13.7679
719,3.11E-01,4.47E-02,14.3943
720,3.24E-01,4.87E-02,14.9721
721,3.53E-01,5.49E-02,15.519
722,3.71E-01,5.95E-02,16.0885
723,3.66E-01,6.09E-02,16.6801
724,3.47E-01,6.00E-02,17.2984
725,3.38E-01,6.07E-02,17.9337
726,3.39E-01,6.29E-02,18.5681
727,3.41E-01,6.56E-02,19.2144
728,3.43E-01,6.81E-02,19.8521
729,3.44E-01,7.05E-02,20.4972
730,3.48E-01,7.35E-02,21.1377
731,3.59E-01,7.80E-02,21.7574
732,3.77E-01,8.44E-02,22.3683
733,3.99E-01,9.17E-02,22.9687
734,4.11E-01,9.69E-02,23.5496
735,4.16E-01,1.00E-01,24.1084
736,4.16E-01,1.02E-01,24.6544
737,4.18E-01,1.05E-01,25.1935
738,4.22E-01,1.08E-01,25.7328
739,4.25E-01,1.11E-01,26.2498
740,4.28E-01,1.14E-01,26.744
741,4.32E-01,1.18E-01,27.2181
742,4.37E-01,1.21E-01,27.6616
743,4.41E-01,1.24E-01,28.0677
744,4.44E-01,1.26E-01,28.4454
745,4.45E-01,1.28E-01,28.8164
746,4.46E-01,1.30E-01,29.1752
747,4.47E-01,1.32E-01,29.5093
748,4.46E-01,1.33E-01,29.821
749,4.44E-01,1.34E-01,30.111
750,4.42E-01,1.34E-01,30.383
751,4.42E-01,1.35E-01,30.6365
752,4.42E-01,1.36E-01,30.87
753,4.43E-01,1.37E-01,31.0838
754,4.42E-01,1.38E-01,31.2767
755,4.42E-01,1.39E-01,31.4563
756,4.41E-01,1.39E-01,31.6312
757,4.33E-01,1.38E-01,31.8032
758,4.05E-01,1.29E-01,31.9824
759,3.22E-01,1.03E-01,32.1242
760,2.41E-01,7.76E-02,32.1931
761,1.96E-01,6.32E-02,32.2315
762,2.02E-01,6.51E-02,32.2649
763,2.32E-01,7.48E-02,32.3186
