Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.17E-01,3.50E-03,2.964
351,1.21E-01,3.60E-03,2.9649
352,1.26E-01,3.72E-03,2.9658
353,1.29E-01,3.80E-03,2.9668
354,1.30E-01,3.86E-03,2.9678
355,1.31E-01,3.90E-03,2.9691
356,1.32E-01,3.93E-03,2.971
357,1.32E-01,3.96E-03,2.9739
358,1.34E-01,4.01E-03,2.9781
359,1.36E-01,4.10E-03,2.9838
360,1.41E-01,4.26E-03,2.9909
361,1.49E-01,4.48E-03,2.9991
362,1.58E-01,4.74E-03,3.008
363,1.66E-01,5.01E-03,3.0174
364,1.75E-01,5.27E-03,3.0279
365,1.83E-01,5.53E-03,3.0399
366,1.91E-01,5.79E-03,3.0539
367,1.98E-01,6.02E-03,3.0703
368,2.01E-01,6.17E-03,3.0891
369,2.01E-01,6.22E-03,3.1107
370,1.98E-01,6.18E-03,3.1348
371,1.93E-01,6.08E-03,3.161
372,1.88E-01,6.01E-03,3.1889
373,1.86E-01,6.02E-03,3.2185
374,1.89E-01,6.16E-03,3.2502
375,1.95E-01,6.42E-03,3.2841
376,2.04E-01,6.77E-03,3.3203
377,2.16E-01,7.21E-03,3.3589
378,2.23E-01,7.51E-03,3.4008
379,2.20E-01,7.54E-03,3.4465
380,2.10E-01,7.31E-03,3.4954
381,1.96E-01,6.96E-03,3.5462
382,1.84E-01,6.69E-03,3.5981
383,1.79E-01,6.62E-03,3.6512
384,1.80E-01,6.74E-03,3.7062
385,1.86E-01,7.04E-03,3.763
386,1.96E-01,7.47E-03,3.8223
387,2.08E-01,8.04E-03,3.8857
388,2.20E-01,8.62E-03,3.9533
389,2.29E-01,9.11E-03,4.0246
390,2.31E-01,9.36E-03,4.0993
391,2.27E-01,9.41E-03,4.1771
392,2.21E-01,9.35E-03,4.2579
393,2.12E-01,9.21E-03,4.3399
394,2.07E-01,9.18E-03,4.4221
395,2.10E-01,9.47E-03,4.5051
396,2.23E-01,1.02E-02,4.5888
397,2.44E-01,1.13E-02,4.6738
398,2.67E-01,1.26E-02,4.7607
399,2.92E-01,1.42E-02,4.8498
400,3.17E-01,1.57E-02,4.9408
401,3.38E-01,1.72E-02,5.0331
402,3.49E-01,1.81E-02,5.1259
403,3.56E-01,1.87E-02,5.218
404,3.59E-01,1.90E-02,5.3084
405,3.60E-01,1.93E-02,5.3968
406,3.60E-01,1.96E-02,5.4823
407,3.63E-01,2.01E-02,5.5646
408,3.66E-01,2.07E-02,5.6446
409,3.71E-01,2.12E-02,5.7229
410,3.76E-01,2.18E-02,5.7993
411,3.83E-01,2.25E-02,5.8752
412,3.90E-01,2.32E-02,5.9492
413,3.95E-01,2.39E-02,6.0192
414,3.99E-01,2.44E-02,6.0858
415,4.00E-01,2.47E-02,6.1516
416,3.99E-01,2.49E-02,6.2152
417,3.97E-01,2.50E-02,6.2788
418,3.97E-01,2.52E-02,6.3414
419,3.98E-01,2.55E-02,6.4011
420,4.00E-01,2.58E-02,6.4578
421,4.02E-01,2.61E-02,6.5133
422,4.01E-01,2.63E-02,6.5659
423,4.00E-01,2.64E-02,6.6165
424,3.99E-01,2.65E-02,6.6654
425,3.99E-01,2.67E-02,6.7125
426,3.97E-01,2.68E-02,6.7583
427,3.90E-01,2.66E-02,6.8032
428,3.76E-01,2.59E-02,6.8479
429,3.59E-01,2.50E-02,6.8926
430,3.54E-01,2.47E-02,6.9376
431,3.67E-01,2.55E-02,6.9831
432,3.91E-01,2.72E-02,7.0277
433,4.09E-01,2.87E-02,7.0695
434,4.21E-01,2.98E-02,7.1091
435,4.32E-01,3.08E-02,7.1487
436,4.39E-01,3.15E-02,7.1896
437,4.38E-01,3.18E-02,7.2315
438,4.32E-01,3.15E-02,7.2732
439,4.34E-01,3.18E-02,7.3146
440,4.45E-01,3.27E-02,7.3557
441,4.60E-01,3.40E-02,7.3965
442,4.73E-01,3.52E-02,7.4373
443,4.80E-01,3.59E-02,7.4786
444,4.81E-01,3.63E-02,7.5197
445,4.81E-01,3.64E-02,7.5608
446,4.85E-01,3.68E-02,7.6025
447,4.94E-01,3.75E-02,7.6452
448,5.06E-01,3.85E-02,7.6868
449,5.17E-01,3.96E-02,7.7254
450,5.23E-01,4.05E-02,7.7622
451,5.22E-01,4.10E-02,7.7987
452,5.14E-01,4.07E-02,7.8347
453,5.07E-01,4.02E-02,7.8698
454,5.10E-01,4.04E-02,7.9056
455,5.18E-01,4.11E-02,7.9432
456,5.25E-01,4.18E-02,7.9814
457,5.27E-01,4.22E-02,8.0165
458,5.26E-01,4.23E-02,8.0456
459,5.25E-01,4.23E-02,8.0693
460,5.30E-01,4.29E-02,8.0898
461,5.36E-01,4.35E-02,8.1131
462,5.40E-01,4.40E-02,8.14
463,5.37E-01,4.40E-02,8.1689
464,5.32E-01,4.37E-02,8.1977
465,5.26E-01,4.34E-02,8.2257
466,5.24E-01,4.34E-02,8.253
467,5.24E-01,4.35E-02,8.275
468,5.25E-01,4.37E-02,8.3037
469,5.25E-01,4.38E-02,8.3332
470,5.25E-01,4.39E-02,8.3625
471,5.29E-01,4.42E-02,8.3918
472,5.35E-01,4.47E-02,8.4234
473,5.39E-01,4.50E-02,8.4613
474,5.39E-01,4.51E-02,8.5004
475,5.38E-01,4.56E-02,8.5417
476,5.38E-01,4.64E-02,8.5871
477,5.42E-01,4.75E-02,8.6273
478,5.48E-01,4.81E-02,8.6661
479,5.53E-01,4.86E-02,8.7044
480,5.56E-01,4.88E-02,8.7453
481,5.57E-01,4.90E-02,8.7833
482,5.55E-01,4.90E-02,8.8209
483,5.48E-01,4.86E-02,8.8621
484,5.29E-01,4.71E-02,8.9034
485,5.08E-01,4.55E-02,8.9452
486,4.93E-01,4.43E-02,8.9873
487,5.00E-01,4.49E-02,9.0293
488,5.14E-01,4.64E-02,9.0709
489,5.31E-01,4.82E-02,9.1109
490,5.35E-01,4.88E-02,9.1475
491,5.33E-01,4.89E-02,9.1813
492,5.30E-01,4.89E-02,9.2129
493,5.35E-01,4.95E-02,9.2466
494,5.41E-01,5.02E-02,9.2845
495,5.46E-01,5.09E-02,9.3272
496,5.45E-01,5.11E-02,9.3706
497,5.42E-01,5.11E-02,9.4136
498,5.37E-01,5.08E-02,9.4557
499,5.31E-01,5.04E-02,9.4975
500,5.24E-01,5.01E-02,9.54
501,5.20E-01,4.99E-02,9.5828
502,5.19E-01,5.00E-02,9.6265
503,5.22E-01,5.04E-02,9.6704
504,5.27E-01,5.12E-02,9.7142
505,5.34E-01,5.20E-02,9.7565
506,5.36E-01,5.25E-02,9.7984
507,5.35E-01,5.26E-02,9.841
508,5.33E-01,5.27E-02,9.8835
509,5.35E-01,5.31E-02,9.9266
510,5.38E-01,5.36E-02,9.9707
511,5.38E-01,5.38E-02,10.015
512,5.34E-01,5.37E-02,10.0587
513,5.27E-01,5.33E-02,10.1019
514,5.22E-01,5.30E-02,10.1454
515,5.11E-01,5.21E-02,10.1893
516,4.95E-01,5.08E-02,10.2342
517,4.84E-01,4.98E-02,10.2797
518,4.87E-01,5.03E-02,10.3253
519,5.01E-01,5.19E-02,10.3711
520,5.15E-01,5.36E-02,10.4165
521,5.22E-01,5.46E-02,10.4611
522,5.25E-01,5.51E-02,10.5039
523,5.30E-01,5.59E-02,10.5448
524,5.31E-01,5.63E-02,10.5852
525,5.27E-01,5.61E-02,10.6264
526,5.17E-01,5.53E-02,10.6688
527,5.18E-01,5.55E-02,10.7125
528,5.27E-01,5.67E-02,10.7575
529,5.43E-01,5.87E-02,10.8036
530,5.48E-01,5.95E-02,10.8509
531,5.44E-01,5.94E-02,10.8995
532,5.38E-01,5.90E-02,10.9486
533,5.36E-01,5.89E-02,10.9984
534,5.38E-01,5.93E-02,11.0491
535,5.43E-01,6.01E-02,11.1002
536,5.43E-01,6.03E-02,11.1513
537,5.40E-01,6.02E-02,11.2022
538,5.36E-01,5.99E-02,11.2531
539,5.30E-01,5.97E-02,11.304
540,5.25E-01,5.97E-02,11.3551
541,5.24E-01,6.01E-02,11.4063
542,5.28E-01,6.09E-02,11.4582
543,5.33E-01,6.17E-02,11.5107
544,5.36E-01,6.22E-02,11.5634
