Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.17E-01,3.98E-03,3.3762
351,1.21E-01,4.10E-03,3.3774
352,1.26E-01,4.23E-03,3.379
353,1.29E-01,4.33E-03,3.3809
354,1.30E-01,4.40E-03,3.3831
355,1.31E-01,4.44E-03,3.3857
356,1.32E-01,4.48E-03,3.3891
357,1.32E-01,4.52E-03,3.3939
358,1.34E-01,4.59E-03,3.4004
359,1.36E-01,4.70E-03,3.4089
360,1.41E-01,4.87E-03,3.4194
361,1.49E-01,5.13E-03,3.432
362,1.58E-01,5.44E-03,3.4466
363,1.66E-01,5.75E-03,3.4628
364,1.75E-01,6.05E-03,3.4803
365,1.83E-01,6.36E-03,3.4992
366,1.91E-01,6.66E-03,3.5205
367,1.98E-01,6.94E-03,3.5447
368,2.01E-01,7.13E-03,3.5718
369,2.01E-01,7.21E-03,3.602
370,1.98E-01,7.16E-03,3.6355
371,1.93E-01,7.07E-03,3.6726
372,1.88E-01,7.00E-03,3.7132
373,1.86E-01,7.03E-03,3.758
374,1.89E-01,7.22E-03,3.8063
375,1.95E-01,7.56E-03,3.8583
376,2.04E-01,8.00E-03,3.9144
377,2.16E-01,8.55E-03,3.9739
378,2.23E-01,8.93E-03,4.036
379,2.20E-01,8.97E-03,4.1014
380,2.10E-01,8.70E-03,4.1702
381,1.96E-01,8.30E-03,4.243
382,1.84E-01,8.01E-03,4.32
383,1.79E-01,7.96E-03,4.4014
384,1.80E-01,8.17E-03,4.4884
385,1.86E-01,8.58E-03,4.5808
386,1.96E-01,9.17E-03,4.6772
387,2.08E-01,9.94E-03,4.7788
388,2.20E-01,1.07E-02,4.8856
389,2.29E-01,1.14E-02,4.9973
390,2.31E-01,1.17E-02,5.1164
391,2.27E-01,1.18E-02,5.2451
392,2.21E-01,1.18E-02,5.3841
393,2.12E-01,1.17E-02,5.5311
394,2.07E-01,1.18E-02,5.6835
395,2.10E-01,1.23E-02,5.8394
396,2.23E-01,1.34E-02,5.9973
397,2.44E-01,1.51E-02,6.1563
398,2.67E-01,1.70E-02,6.3182
399,2.92E-01,1.91E-02,6.4831
400,3.17E-01,2.12E-02,6.6502
401,3.38E-01,2.31E-02,6.818
402,3.49E-01,2.44E-02,6.9853
403,3.56E-01,2.53E-02,7.1527
404,3.59E-01,2.61E-02,7.3175
405,3.60E-01,2.67E-02,7.4782
406,3.60E-01,2.74E-02,7.6344
407,3.63E-01,2.82E-02,7.7861
408,3.66E-01,2.91E-02,7.9338
409,3.71E-01,3.00E-02,8.0803
410,3.76E-01,3.10E-02,8.2237
411,3.83E-01,3.21E-02,8.3614
412,3.90E-01,3.31E-02,8.4903
413,3.95E-01,3.41E-02,8.6084
414,3.99E-01,3.48E-02,8.7144
415,4.00E-01,3.53E-02,8.8103
416,3.99E-01,3.55E-02,8.8978
417,3.97E-01,3.57E-02,8.9791
418,3.97E-01,3.59E-02,9.0555
419,3.98E-01,3.63E-02,9.1288
420,4.00E-01,3.68E-02,9.199
421,4.02E-01,3.72E-02,9.2667
422,4.01E-01,3.74E-02,9.3318
