Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.17E-01,2.79E-03,2.3152
351,1.21E-01,2.85E-03,2.3173
352,1.26E-01,2.91E-03,2.3201
353,1.29E-01,2.97E-03,2.3237
354,1.30E-01,3.00E-03,2.3279
355,1.31E-01,3.03E-03,2.3328
356,1.32E-01,3.06E-03,2.3384
357,1.32E-01,3.11E-03,2.345
358,1.34E-01,3.17E-03,2.3528
359,1.36E-01,3.26E-03,2.3619
360,1.41E-01,3.39E-03,2.3724
361,1.49E-01,3.57E-03,2.3841
362,1.58E-01,3.78E-03,2.3968
363,1.66E-01,4.01E-03,2.4103
364,1.75E-01,4.22E-03,2.4248
365,1.83E-01,4.44E-03,2.4406
366,1.91E-01,4.67E-03,2.458
367,1.98E-01,4.86E-03,2.477
368,2.01E-01,4.99E-03,2.4978
369,2.01E-01,5.04E-03,2.5204
370,1.98E-01,5.01E-03,2.5449
371,1.93E-01,4.94E-03,2.5711
372,1.88E-01,4.89E-03,2.5988
373,1.86E-01,4.91E-03,2.6279
374,1.89E-01,5.03E-03,2.6587
375,1.95E-01,5.27E-03,2.6913
376,2.04E-01,5.57E-03,2.7258
377,2.16E-01,5.95E-03,2.7623
378,2.23E-01,6.21E-03,2.801
379,2.20E-01,6.24E-03,2.8423
380,2.10E-01,6.04E-03,2.8859
381,1.96E-01,5.73E-03,2.9311
382,1.84E-01,5.51E-03,2.9778
383,1.79E-01,5.47E-03,3.0261
384,1.80E-01,5.58E-03,3.0764
385,1.86E-01,5.84E-03,3.1291
386,1.96E-01,6.24E-03,3.1844
387,2.08E-01,6.72E-03,3.2426
388,2.20E-01,7.22E-03,3.3036
389,2.29E-01,7.63E-03,3.3668
390,2.31E-01,7.84E-03,3.4321
391,2.27E-01,7.88E-03,3.4994
392,2.21E-01,7.82E-03,3.5689
393,2.12E-01,7.70E-03,3.6401
394,2.07E-01,7.69E-03,3.7129
395,2.10E-01,7.95E-03,3.787
396,2.23E-01,8.60E-03,3.8624
397,2.44E-01,9.59E-03,3.9392
398,2.67E-01,1.07E-02,4.0174
399,2.92E-01,1.20E-02,4.097
400,3.17E-01,1.33E-02,4.178
401,3.38E-01,1.45E-02,4.2598
402,3.49E-01,1.52E-02,4.3422
403,3.56E-01,1.57E-02,4.4238
404,3.59E-01,1.61E-02,4.5042
405,3.60E-01,1.64E-02,4.5827
406,3.60E-01,1.67E-02,4.659
407,3.63E-01,1.71E-02,4.7329
408,3.66E-01,1.76E-02,4.8044
409,3.71E-01,1.81E-02,4.8735
410,3.76E-01,1.87E-02,4.9405
411,3.83E-01,1.92E-02,5.0052
412,3.90E-01,1.98E-02,5.0677
413,3.95E-01,2.04E-02,5.1282
414,3.99E-01,2.08E-02,5.1863
415,4.00E-01,2.10E-02,5.2412
416,3.99E-01,2.12E-02,5.2926
417,3.97E-01,2.13E-02,5.3408
418,3.97E-01,2.14E-02,5.3864
419,3.98E-01,2.16E-02,5.4298
420,4.00E-01,2.19E-02,5.4706
421,4.02E-01,2.21E-02,5.5082
422,4.01E-01,2.22E-02,5.5427
423,4.00E-01,2.23E-02,5.5747
424,3.99E-01,2.23E-02,5.6047
425,3.99E-01,2.25E-02,5.6327
426,3.97E-01,2.25E-02,5.659
427,3.90E-01,2.22E-02,5.6838
428,3.76E-01,2.16E-02,5.7076
429,3.59E-01,2.07E-02,5.7305
430,3.54E-01,2.04E-02,5.7529
431,3.67E-01,2.11E-02,5.7748
432,3.91E-01,2.25E-02,5.7957
433,4.09E-01,2.37E-02,5.8151
434,4.21E-01,2.45E-02,5.8334
435,4.32E-01,2.52E-02,5.8516
436,4.39E-01,2.58E-02,5.8702
437,4.38E-01,2.58E-02,5.889
438,4.32E-01,2.56E-02,5.9076
439,4.34E-01,2.57E-02,5.926
440,4.45E-01,2.64E-02,5.9445
441,4.60E-01,2.74E-02,5.963
442,4.73E-01,2.82E-02,5.9815
443,4.80E-01,2.88E-02,6.0003
444,4.81E-01,2.90E-02,6.0193
445,4.81E-01,2.90E-02,6.0383
446,4.85E-01,2.93E-02,6.0578
447,4.94E-01,2.99E-02,6.0775
448,5.06E-01,3.07E-02,6.0963
449,5.17E-01,3.15E-02,6.1135
450,5.23E-01,3.21E-02,6.1297
451,5.22E-01,3.22E-02,6.1457
452,5.14E-01,3.19E-02,6.1612
453,5.07E-01,3.15E-02,6.176
454,5.10E-01,3.16E-02,6.1905
455,5.18E-01,3.21E-02,6.2053
456,5.25E-01,3.26E-02,6.2194
457,5.27E-01,3.28E-02,6.2312
458,5.26E-01,3.28E-02,6.2402
459,5.25E-01,3.28E-02,6.2471
460,5.30E-01,3.31E-02,6.2527
461,5.36E-01,3.35E-02,6.259
462,5.40E-01,3.39E-02,6.2661
463,5.37E-01,3.37E-02,6.2729
464,5.32E-01,3.34E-02,6.2788
465,5.26E-01,3.31E-02,6.2838
466,5.24E-01,3.30E-02,6.2881
467,5.24E-01,3.30E-02,6.2922
468,5.25E-01,3.31E-02,6.297
469,5.25E-01,3.31E-02,6.3031
470,5.25E-01,3.31E-02,6.3109
471,5.29E-01,3.33E-02,6.3191
472,5.35E-01,3.36E-02,6.3262
473,5.39E-01,3.39E-02,6.3332
474,5.39E-01,3.39E-02,6.3405
475,5.38E-01,3.41E-02,6.3481
476,5.38E-01,3.43E-02,6.3563
477,5.42E-01,3.47E-02,6.365
478,5.48E-01,3.51E-02,6.3736
479,5.53E-01,3.54E-02,6.3823
480,5.56E-01,3.56E-02,6.3915
481,5.57E-01,3.57E-02,6.4014
482,5.55E-01,3.57E-02,6.4121
483,5.48E-01,3.53E-02,6.4235
484,5.29E-01,3.41E-02,6.4356
485,5.08E-01,3.28E-02,6.4484
486,4.93E-01,3.19E-02,6.462
487,5.00E-01,3.23E-02,6.476
488,5.14E-01,3.33E-02,6.4906
489,5.31E-01,3.44E-02,6.5054
490,5.35E-01,3.48E-02,6.52
491,5.33E-01,3.48E-02,6.5349
492,5.30E-01,3.47E-02,6.5508
493,5.35E-01,3.51E-02,6.5693
494,5.41E-01,3.56E-02,6.5906
495,5.46E-01,3.61E-02,6.6147
496,5.45E-01,3.62E-02,6.6404
497,5.42E-01,3.61E-02,6.6677
498,5.37E-01,3.60E-02,6.6968
499,5.31E-01,3.57E-02,6.7285
500,5.24E-01,3.55E-02,6.763
501,5.20E-01,3.54E-02,6.8007
502,5.19E-01,3.55E-02,6.8419
503,5.22E-01,3.59E-02,6.8865
504,5.27E-01,3.66E-02,6.9344
505,5.34E-01,3.72E-02,6.9848
506,5.36E-01,3.77E-02,7.0383
507,5.35E-01,3.79E-02,7.0958
508,5.33E-01,3.81E-02,7.1571
509,5.35E-01,3.86E-02,7.2228
510,5.38E-01,3.91E-02,7.2934
511,5.38E-01,3.95E-02,7.3681
512,5.34E-01,3.96E-02,7.4468
513,5.27E-01,3.96E-02,7.5295
514,5.22E-01,3.97E-02,7.616
515,5.11E-01,3.93E-02,7.7065
516,4.95E-01,3.86E-02,7.801
517,4.84E-01,3.81E-02,7.8988
518,4.87E-01,3.89E-02,7.9991
519,5.01E-01,4.05E-02,8.1016
520,5.15E-01,4.22E-02,8.2055
521,5.22E-01,4.33E-02,8.3101
522,5.25E-01,4.41E-02,8.4146
523,5.30E-01,4.52E-02,8.5185
524,5.31E-01,4.59E-02,8.6215
525,5.27E-01,4.61E-02,8.7234
526,5.17E-01,4.58E-02,8.8236
527,5.18E-01,4.63E-02,8.9218
528,5.27E-01,4.77E-02,9.0173
529,5.43E-01,4.96E-02,9.11
530,5.48E-01,5.05E-02,9.1995
531,5.44E-01,5.08E-02,9.2856
532,5.38E-01,5.06E-02,9.3683
533,5.36E-01,5.08E-02,9.4475
534,5.38E-01,5.13E-02,9.5231
535,5.43E-01,5.21E-02,9.5951
536,5.43E-01,5.25E-02,9.6636
