Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.21E-01,4.21E-03,3.3772
351,1.25E-01,4.28E-03,3.378
352,1.30E-01,4.38E-03,3.379
353,1.33E-01,4.45E-03,3.3801
354,1.34E-01,4.50E-03,3.3813
355,1.35E-01,4.54E-03,3.383
356,1.36E-01,4.58E-03,3.3855
357,1.37E-01,4.63E-03,3.3893
358,1.38E-01,4.71E-03,3.3947
359,1.40E-01,4.83E-03,3.4019
360,1.46E-01,5.02E-03,3.4109
361,1.53E-01,5.27E-03,3.4214
362,1.63E-01,5.59E-03,3.4338
363,1.71E-01,5.91E-03,3.4478
364,1.80E-01,6.22E-03,3.463
365,1.88E-01,6.54E-03,3.4798
366,1.97E-01,6.85E-03,3.4993
367,2.04E-01,7.12E-03,3.5218
368,2.08E-01,7.30E-03,3.5475
369,2.08E-01,7.37E-03,3.5765
370,2.04E-01,7.32E-03,3.6086
371,1.98E-01,7.21E-03,3.644
372,1.94E-01,7.14E-03,3.6835
373,1.92E-01,7.17E-03,3.7267
374,1.94E-01,7.36E-03,3.7728
375,2.01E-01,7.71E-03,3.8222
376,2.10E-01,8.15E-03,3.876
377,2.22E-01,8.71E-03,3.9331
378,2.29E-01,9.10E-03,3.994
379,2.27E-01,9.15E-03,4.0591
380,2.16E-01,8.89E-03,4.129
381,2.01E-01,8.47E-03,4.2041
382,1.90E-01,8.17E-03,4.2839
383,1.85E-01,8.12E-03,4.3674
384,1.85E-01,8.32E-03,4.4549
385,1.92E-01,8.74E-03,4.5468
386,2.02E-01,9.36E-03,4.6442
387,2.14E-01,1.01E-02,4.7466
388,2.27E-01,1.09E-02,4.8537
389,2.35E-01,1.16E-02,4.9648
390,2.38E-01,1.20E-02,5.0825
391,2.34E-01,1.21E-02,5.2073
392,2.27E-01,1.21E-02,5.3399
393,2.19E-01,1.20E-02,5.4803
394,2.13E-01,1.20E-02,5.6281
395,2.16E-01,1.25E-02,5.7806
396,2.30E-01,1.36E-02,5.9354
397,2.52E-01,1.53E-02,6.0911
398,2.76E-01,1.72E-02,6.2487
399,3.01E-01,1.93E-02,6.4079
400,3.27E-01,2.15E-02,6.568
401,3.48E-01,2.35E-02,6.7279
402,3.59E-01,2.49E-02,6.8882
403,3.66E-01,2.58E-02,7.0466
404,3.69E-01,2.65E-02,7.2019
405,3.70E-01,2.71E-02,7.3529
406,3.71E-01,2.78E-02,7.5011
407,3.74E-01,2.85E-02,7.6448
408,3.77E-01,2.94E-02,7.7838
409,3.82E-01,3.03E-02,7.9157
410,3.88E-01,3.12E-02,8.0398
411,3.94E-01,3.22E-02,8.1581
412,4.01E-01,3.32E-02,8.2702
413,4.07E-01,3.41E-02,8.3734
414,4.11E-01,3.48E-02,8.4669
415,4.12E-01,3.53E-02,8.5477
416,4.11E-01,3.55E-02,8.6163
417,4.09E-01,3.56E-02,8.6793
418,4.09E-01,3.57E-02,8.7387
419,4.10E-01,3.60E-02,8.7949
420,4.13E-01,3.64E-02,8.8467
421,4.14E-01,3.67E-02,8.8924
422,4.14E-01,3.69E-02,8.9317
423,4.12E-01,3.69E-02,8.9669
424,4.11E-01,3.70E-02,8.9996
425,4.11E-01,3.71E-02,9.0291
426,4.09E-01,3.71E-02,9.0552
427,4.02E-01,3.65E-02,9.0786
428,3.88E-01,3.54E-02,9.1005
429,3.70E-01,3.39E-02,9.121
430,3.65E-01,3.34E-02,9.141
431,3.79E-01,3.45E-02,9.1609
432,4.03E-01,3.68E-02,9.1799
433,4.22E-01,3.86E-02,9.1965
434,4.34E-01,3.99E-02,9.2113
435,4.46E-01,4.11E-02,9.2261
436,4.53E-01,4.19E-02,9.2423
437,4.52E-01,4.19E-02,9.2595
438,4.46E-01,4.14E-02,9.2768
439,4.48E-01,4.16E-02,9.294
440,4.59E-01,4.27E-02,9.3114
441,4.75E-01,4.43E-02,9.3292
442,4.89E-01,4.56E-02,9.3476
443,4.96E-01,4.64E-02,9.3669
444,4.97E-01,4.67E-02,9.3866
445,4.97E-01,4.68E-02,9.4067
446,5.01E-01,4.71E-02,9.4278
447,5.11E-01,4.80E-02,9.4493
448,5.23E-01,4.93E-02,9.4693
449,5.35E-01,5.05E-02,9.4863
450,5.41E-01,5.14E-02,9.5013
451,5.39E-01,5.16E-02,9.516
452,5.31E-01,5.10E-02,9.5302
453,5.24E-01,5.03E-02,9.5432
454,5.28E-01,5.05E-02,9.556
455,5.35E-01,5.12E-02,9.5695
456,5.43E-01,5.19E-02,9.5826
457,5.45E-01,5.23E-02,9.5922
458,5.44E-01,5.22E-02,9.5962
