Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.06E-01,1.25E-03,1.1814
351,1.10E-01,1.29E-03,1.1816
352,1.14E-01,1.34E-03,1.1817
353,1.16E-01,1.37E-03,1.1819
354,1.18E-01,1.40E-03,1.182
355,1.18E-01,1.41E-03,1.1822
356,1.19E-01,1.41E-03,1.1826
357,1.19E-01,1.42E-03,1.1833
358,1.20E-01,1.43E-03,1.1845
359,1.22E-01,1.46E-03,1.1861
360,1.26E-01,1.51E-03,1.188
361,1.33E-01,1.58E-03,1.1902
362,1.41E-01,1.67E-03,1.1924
363,1.48E-01,1.77E-03,1.1948
364,1.56E-01,1.85E-03,1.1974
365,1.63E-01,1.94E-03,1.2005
366,1.70E-01,2.03E-03,1.2044
367,1.75E-01,2.11E-03,1.2091
368,1.79E-01,2.16E-03,1.2146
369,1.79E-01,2.18E-03,1.2212
370,1.75E-01,2.15E-03,1.2287
371,1.70E-01,2.11E-03,1.237
372,1.66E-01,2.08E-03,1.2459
373,1.64E-01,2.07E-03,1.2555
374,1.66E-01,2.11E-03,1.2659
375,1.71E-01,2.19E-03,1.2771
376,1.79E-01,2.30E-03,1.2892
377,1.89E-01,2.45E-03,1.3023
378,1.95E-01,2.56E-03,1.3169
379,1.93E-01,2.56E-03,1.3331
380,1.84E-01,2.48E-03,1.3505
381,1.71E-01,2.35E-03,1.3686
382,1.61E-01,2.25E-03,1.387
383,1.56E-01,2.22E-03,1.4057
384,1.57E-01,2.25E-03,1.4252
385,1.62E-01,2.35E-03,1.4459
386,1.70E-01,2.49E-03,1.4684
387,1.80E-01,2.68E-03,1.4932
388,1.91E-01,2.87E-03,1.5202
389,1.98E-01,3.04E-03,1.5489
390,2.00E-01,3.13E-03,1.5791
391,1.97E-01,3.15E-03,1.6105
392,1.91E-01,3.12E-03,1.6431
393,1.84E-01,3.08E-03,1.6766
394,1.79E-01,3.06E-03,1.7109
395,1.81E-01,3.15E-03,1.7458
396,1.92E-01,3.38E-03,1.7814
397,2.11E-01,3.76E-03,1.8179
