Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
501,4.24E-01,3.33E-02,7.8417
502,4.23E-01,3.34E-02,7.8875
503,4.25E-01,3.38E-02,7.9334
504,4.30E-01,3.44E-02,7.9796
505,4.35E-01,3.50E-02,8.0262
506,4.37E-01,3.53E-02,8.073
507,4.36E-01,3.54E-02,8.1197
508,4.35E-01,3.55E-02,8.1665
509,4.36E-01,3.58E-02,8.2134
510,4.38E-01,3.62E-02,8.2601
511,4.38E-01,3.63E-02,8.3069
512,4.34E-01,3.63E-02,8.354
513,4.29E-01,3.60E-02,8.4012
514,4.24E-01,3.58E-02,8.4483
515,4.15E-01,3.52E-02,8.4952
516,4.02E-01,3.43E-02,8.542
517,3.92E-01,3.37E-02,8.5888
518,3.95E-01,3.41E-02,8.6357
519,4.06E-01,3.53E-02,8.6825
520,4.17E-01,3.64E-02,8.7295
521,4.23E-01,3.71E-02,8.7771
522,4.25E-01,3.75E-02,8.8253
523,4.29E-01,3.81E-02,8.8737
524,4.30E-01,3.84E-02,8.9221
525,4.27E-01,3.83E-02,8.9706
526,4.19E-01,3.78E-02,9.0192
527,4.19E-01,3.80E-02,9.0679
528,4.27E-01,3.89E-02,9.1167
529,4.39E-01,4.02E-02,9.1654
530,4.43E-01,4.08E-02,9.2138
531,4.41E-01,4.08E-02,9.2624
532,4.36E-01,4.06E-02,9.311
533,4.34E-01,4.06E-02,9.3595
534,4.36E-01,4.10E-02,9.4081
535,4.40E-01,4.16E-02,9.4569
536,4.41E-01,4.19E-02,9.5061
537,4.39E-01,4.20E-02,9.5555
538,4.35E-01,4.18E-02,9.605
539,4.29E-01,4.15E-02,9.6546
540,4.25E-01,4.12E-02,9.7041
541,4.22E-01,4.12E-02,9.7538
542,4.25E-01,4.17E-02,9.8034
543,4.29E-01,4.22E-02,9.8529
544,4.31E-01,4.27E-02,9.9026
545,4.32E-01,4.30E-02,9.9525
546,4.32E-01,4.32E-02,10.0026
547,4.30E-01,4.33E-02,10.0525
548,4.31E-01,4.35E-02,10.1021
549,4.32E-01,4.39E-02,10.1515
550,4.33E-01,4.42E-02,10.2006
551,4.32E-01,4.43E-02,10.2494
552,4.32E-01,4.45E-02,10.2981
553,4.33E-01,4.48E-02,10.3466
554,4.34E-01,4.51E-02,10.3952
555,4.33E-01,4.52E-02,10.4436
556,4.29E-01,4.50E-02,10.4918
557,4.23E-01,4.46E-02,10.5396
558,4.19E-01,4.44E-02,10.587
559,4.18E-01,4.44E-02,10.6339
560,4.19E-01,4.48E-02,10.6806
561,4.22E-01,4.53E-02,10.7269
562,4.24E-01,4.57E-02,10.7726
563,4.24E-01,4.59E-02,10.8178
564,4.23E-01,4.59E-02,10.8625
565,4.21E-01,4.59E-02,10.9071
566,4.20E-01,4.60E-02,10.9509
567,4.19E-01,4.60E-02,10.9942
568,4.16E-01,4.60E-02,11.0369
569,4.13E-01,4.58E-02,11.0788
570,4.11E-01,4.57E-02,11.1196
571,4.13E-01,4.61E-02,11.1593
572,4.17E-01,4.67E-02,11.1982
573,4.21E-01,4.73E-02,11.2365
574,4.20E-01,4.73E-02,11.2747
575,4.17E-01,4.72E-02,11.3134
576,4.16E-01,4.73E-02,11.3521
577,4.15E-01,4.73E-02,11.3909
578,4.15E-01,4.74E-02,11.4299
579,4.16E-01,4.77E-02,11.4691
580,4.19E-01,4.82E-02,11.5082
581,4.23E-01,4.88E-02,11.5471
582,4.25E-01,4.92E-02,11.5857
583,4.26E-01,4.94E-02,11.6241
584,4.23E-01,4.93E-02,11.6623
585,4.19E-01,4.89E-02,11.7001
586,4.15E-01,4.86E-02,11.7376
587,4.05E-01,4.76E-02,11.7745
588,3.92E-01,4.63E-02,11.8107
589,3.79E-01,4.49E-02,11.8461
590,3.79E-01,4.51E-02,11.8805
591,3.85E-01,4.60E-02,11.914
592,3.93E-01,4.71E-02,11.9466
593,3.94E-01,4.72E-02,11.9785
594,3.94E-01,4.74E-02,12.0095
595,3.95E-01,4.76E-02,12.0396
596,3.98E-01,4.81E-02,12.0689
597,4.00E-01,4.84E-02,12.0974
598,4.01E-01,4.87E-02,12.1251
599,4.02E-01,4.88E-02,12.152
600,4.02E-01,4.89E-02,12.1775
601,4.02E-01,4.90E-02,12.2021
602,4.03E-01,4.92E-02,12.2259
603,4.06E-01,4.97E-02,12.2487
604,4.09E-01,5.01E-02,12.271
605,4.09E-01,5.03E-02,12.293
606,4.08E-01,5.02E-02,12.3154
607,4.06E-01,5.01E-02,12.3383
608,4.04E-01,5.00E-02,12.3619
609,4.02E-01,4.98E-02,12.3856
610,4.00E-01,4.97E-02,12.4092
611,3.99E-01,4.96E-02,12.4334
612,3.98E-01,4.96E-02,12.4582
613,3.96E-01,4.94E-02,12.4835
614,3.93E-01,4.92E-02,12.5091
615,3.91E-01,4.90E-02,12.5352
616,3.89E-01,4.88E-02,12.5616
617,3.90E-01,4.90E-02,12.5885
618,3.92E-01,4.95E-02,12.6157
619,3.96E-01,5.01E-02,12.6431
620,3.98E-01,5.03E-02,12.6709
621,3.97E-01,5.03E-02,12.6989
622,3.94E-01,5.01E-02,12.7272
623,3.91E-01,4.98E-02,12.7555
624,3.88E-01,4.95E-02,12.7838
625,3.86E-01,4.94E-02,12.8122
626,3.85E-01,4.94E-02,12.8406
627,3.83E-01,4.94E-02,12.8687
628,3.82E-01,4.93E-02,12.8963
629,3.80E-01,4.91E-02,12.9234
630,3.79E-01,4.92E-02,12.95
631,3.80E-01,4.93E-02,12.9767
632,3.81E-01,4.95E-02,13.0038
633,3.82E-01,4.99E-02,13.031
634,3.83E-01,5.01E-02,13.0583
635,3.84E-01,5.03E-02,13.0857
636,3.85E-01,5.05E-02,13.1131
