Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.06E-01,3.52E-03,3.2845
351,1.10E-01,3.62E-03,3.2878
352,1.14E-01,3.74E-03,3.2922
353,1.16E-01,3.83E-03,3.2977
354,1.18E-01,3.87E-03,3.304
355,1.18E-01,3.91E-03,3.3108
356,1.19E-01,3.93E-03,3.3178
357,1.19E-01,3.97E-03,3.3258
358,1.20E-01,4.03E-03,3.3351
359,1.22E-01,4.12E-03,3.3459
360,1.26E-01,4.28E-03,3.3583
361,1.33E-01,4.51E-03,3.3723
362,1.41E-01,4.78E-03,3.3876
363,1.48E-01,5.05E-03,3.4039
364,1.56E-01,5.31E-03,3.4212
365,1.63E-01,5.57E-03,3.4394
366,1.70E-01,5.84E-03,3.4589
367,1.75E-01,6.07E-03,3.48
368,1.79E-01,6.21E-03,3.503
369,1.79E-01,6.26E-03,3.528
370,1.75E-01,6.19E-03,3.5551
371,1.70E-01,6.08E-03,3.5844
372,1.66E-01,6.00E-03,3.6159
373,1.64E-01,6.01E-03,3.6492
374,1.66E-01,6.14E-03,3.6842
375,1.71E-01,6.41E-03,3.7208
376,1.79E-01,6.76E-03,3.7592
377,1.89E-01,7.19E-03,3.7989
378,1.95E-01,7.48E-03,3.8397
379,1.93E-01,7.46E-03,3.8816
380,1.84E-01,7.17E-03,3.925
381,1.71E-01,6.78E-03,3.9699
382,1.61E-01,6.48E-03,4.0163
383,1.56E-01,6.39E-03,4.0639
384,1.57E-01,6.50E-03,4.1127
385,1.62E-01,6.78E-03,4.1624
386,1.70E-01,7.18E-03,4.2123
387,1.80E-01,7.69E-03,4.2621
388,1.91E-01,8.20E-03,4.3114
389,1.98E-01,8.59E-03,4.36
390,2.00E-01,8.74E-03,4.408
391,1.97E-01,8.69E-03,4.4554
392,1.91E-01,8.54E-03,4.5025
393,1.84E-01,8.33E-03,4.5491
394,1.79E-01,8.22E-03,4.5949
395,1.81E-01,8.44E-03,4.6398
396,1.92E-01,9.09E-03,4.6836
397,2.11E-01,1.01E-02,4.7267
398,2.30E-01,1.11E-02,4.7693
399,2.51E-01,1.22E-02,4.8121
400,2.71E-01,1.33E-02,4.8554
401,2.88E-01,1.42E-02,4.8992
402,2.96E-01,1.46E-02,4.9438
403,3.02E-01,1.50E-02,4.9886
404,3.05E-01,1.52E-02,5.0332
405,3.06E-01,1.54E-02,5.0778
406,3.07E-01,1.56E-02,5.1223
407,3.09E-01,1.59E-02,5.167
