Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
501,5.41E-01,5.08E-02,9.3835
502,5.40E-01,5.09E-02,9.4342
503,5.43E-01,5.14E-02,9.4853
504,5.49E-01,5.23E-02,9.536
505,5.55E-01,5.32E-02,9.5852
506,5.58E-01,5.37E-02,9.6338
507,5.56E-01,5.39E-02,9.6829
508,5.55E-01,5.40E-02,9.7324
509,5.57E-01,5.44E-02,9.7821
510,5.60E-01,5.50E-02,9.8327
511,5.60E-01,5.53E-02,9.8833
512,5.56E-01,5.52E-02,9.9331
513,5.49E-01,5.48E-02,9.9826
514,5.43E-01,5.46E-02,10.0326
515,5.32E-01,5.37E-02,10.0831
516,5.16E-01,5.23E-02,10.1344
517,5.03E-01,5.13E-02,10.1864
518,5.07E-01,5.19E-02,10.2386
519,5.22E-01,5.36E-02,10.291
520,5.36E-01,5.54E-02,10.3426
521,5.44E-01,5.64E-02,10.3931
522,5.47E-01,5.70E-02,10.4416
523,5.52E-01,5.79E-02,10.4885
524,5.53E-01,5.83E-02,10.5351
525,5.49E-01,5.82E-02,10.5829
526,5.38E-01,5.74E-02,10.632
527,5.39E-01,5.77E-02,10.6824
528,5.49E-01,5.90E-02,10.7341
529,5.66E-01,6.10E-02,10.7872
530,5.71E-01,6.19E-02,10.8413
531,5.68E-01,6.19E-02,10.8963
532,5.61E-01,6.15E-02,10.9521
533,5.59E-01,6.15E-02,11.0087
534,5.62E-01,6.20E-02,11.0662
535,5.67E-01,6.28E-02,11.1241
536,5.67E-01,6.31E-02,11.1821
537,5.65E-01,6.31E-02,11.2398
538,5.60E-01,6.29E-02,11.2975
539,5.53E-01,6.27E-02,11.3551
540,5.48E-01,6.27E-02,11.4129
541,5.46E-01,6.30E-02,11.4708
542,5.50E-01,6.38E-02,11.5293
543,5.55E-01,6.47E-02,11.5886
544,5.58E-01,6.53E-02,11.6482
545,5.60E-01,6.56E-02,11.7073
546,5.59E-01,6.58E-02,11.7655
547,5.57E-01,6.59E-02,11.8238
548,5.57E-01,6.62E-02,11.8822
549,5.59E-01,6.67E-02,11.9406
550,5.61E-01,6.72E-02,11.9988
551,5.60E-01,6.74E-02,12.0557
552,5.60E-01,6.77E-02,12.1112
553,5.61E-01,6.82E-02,12.1656
554,5.62E-01,6.86E-02,12.2185
555,5.61E-01,6.88E-02,12.2701
556,5.56E-01,6.85E-02,12.321
557,5.49E-01,6.80E-02,12.3729
558,5.44E-01,6.76E-02,12.4265
559,5.42E-01,6.77E-02,12.4816
560,5.44E-01,6.82E-02,12.5377
561,5.48E-01,6.91E-02,12.5942
562,5.51E-01,6.97E-02,12.6507
563,5.51E-01,7.00E-02,12.7064
564,5.49E-01,7.01E-02,12.7615
565,5.47E-01,7.01E-02,12.816
566,5.45E-01,7.02E-02,12.8693
567,5.44E-01,7.03E-02,12.922
568,5.41E-01,7.03E-02,12.9741
569,5.37E-01,7.00E-02,13.026
570,5.35E-01,7.00E-02,13.0778
571,5.37E-01,7.06E-02,13.1294
572,5.42E-01,7.15E-02,13.1809
573,5.48E-01,7.25E-02,13.2333
574,5.46E-01,7.26E-02,13.2862
575,5.43E-01,7.25E-02,13.339
576,5.42E-01,7.26E-02,13.3917
577,5.41E-01,7.27E-02,13.4444
578,5.41E-01,7.29E-02,13.4969
579,5.42E-01,7.34E-02,13.5494
580,5.47E-01,7.43E-02,13.6017
581,5.51E-01,7.51E-02,13.6537
582,5.54E-01,7.58E-02,13.7054
583,5.55E-01,7.64E-02,13.7563
584,5.53E-01,7.63E-02,13.8067
585,5.47E-01,7.59E-02,13.8565
586,5.42E-01,7.55E-02,13.906
587,5.28E-01,7.39E-02,13.9553
588,5.11E-01,7.18E-02,14.0042
589,4.94E-01,6.96E-02,14.0533
590,4.95E-01,6.99E-02,14.1023
591,5.04E-01,7.13E-02,14.1511
592,5.14E-01,7.30E-02,14.2
593,5.15E-01,7.33E-02,14.2486
594,5.15E-01,7.36E-02,14.2965
595,5.16E-01,7.40E-02,14.3438
596,5.20E-01,7.48E-02,14.3905
597,5.23E-01,7.55E-02,14.436
598,5.25E-01,7.60E-02,14.481
599,5.26E-01,7.63E-02,14.5252
600,5.27E-01,7.67E-02,14.5689
601,5.27E-01,7.70E-02,14.6129
602,5.29E-01,7.76E-02,14.6569
603,5.34E-01,7.85E-02,14.7012
604,5.37E-01,7.93E-02,14.7459
605,5.38E-01,7.97E-02,14.7909
606,5.37E-01,7.97E-02,14.8363
607,5.34E-01,7.96E-02,14.8821
608,5.32E-01,7.94E-02,14.9275
609,5.29E-01,7.91E-02,14.9728
610,5.27E-01,7.91E-02,15.0183
611,5.25E-01,7.91E-02,15.064
612,5.23E-01,7.90E-02,15.11
613,5.21E-01,7.89E-02,15.1557
614,5.18E-01,7.87E-02,15.2009
615,5.14E-01,7.84E-02,15.2462
616,5.12E-01,7.83E-02,15.2914
617,5.13E-01,7.87E-02,15.3361
618,5.17E-01,7.96E-02,15.3806
619,5.23E-01,8.07E-02,15.4247
620,5.24E-01,8.11E-02,15.469
621,5.23E-01,8.12E-02,15.5142
622,5.20E-01,8.09E-02,15.5603
623,5.15E-01,8.05E-02,15.6074
624,5.12E-01,8.01E-02,15.655
625,5.09E-01,8.00E-02,15.7032
626,5.08E-01,8.00E-02,15.752
627,5.06E-01,8.00E-02,15.8013
628,5.04E-01,7.99E-02,15.8511
629,5.02E-01,7.97E-02,15.9014
630,5.01E-01,7.99E-02,15.9519
631,5.01E-01,8.02E-02,16.0028
632,5.03E-01,8.06E-02,16.054
633,5.05E-01,8.12E-02,16.1056
634,5.06E-01,8.16E-02,16.1577
635,5.07E-01,8.21E-02,16.2102
636,5.09E-01,8.28E-02,16.2628
637,5.11E-01,8.34E-02,16.3152
638,5.11E-01,8.38E-02,16.3676
639,5.10E-01,8.38E-02,16.4203
640,5.06E-01,8.34E-02,16.4736
641,5.04E-01,8.34E-02,16.5269
642,5.05E-01,8.37E-02,16.5801
643,5.06E-01,8.42E-02,16.6331
644,5.04E-01,8.40E-02,16.6859
645,4.98E-01,8.34E-02,16.7386
646,4.90E-01,8.23E-02,16.791
647,4.83E-01,8.13E-02,16.8427
648,4.78E-01,8.08E-02,16.8946
649,4.78E-01,8.10E-02,16.946
650,4.81E-01,8.18E-02,16.9968
651,4.86E-01,8.28E-02,17.0473
652,4.89E-01,8.35E-02,17.0974
653,4.88E-01,8.36E-02,17.1473
654,4.79E-01,8.25E-02,17.1979
655,4.62E-01,7.97E-02,17.2487
656,4.48E-01,7.76E-02,17.3002
657,4.52E-01,7.84E-02,17.352
658,4.73E-01,8.22E-02,17.4043
659,4.89E-01,8.54E-02,17.4571
660,4.96E-01,8.69E-02,17.5103
661,5.01E-01,8.79E-02,17.5638
662,5.02E-01,8.85E-02,17.6176
663,5.02E-01,8.87E-02,17.6716
664,5.01E-01,8.88E-02,17.7257
665,5.01E-01,8.91E-02,17.7801
666,5.01E-01,8.93E-02,17.8346
667,5.01E-01,8.95E-02,17.889
668,5.01E-01,8.99E-02,17.9434
669,5.01E-01,9.02E-02,17.9977
670,5.00E-01,9.02E-02,18.0515
671,4.97E-01,9.01E-02,18.1058
672,4.97E-01,9.03E-02,18.1617
673,4.97E-01,9.06E-02,18.219
674,4.98E-01,9.10E-02,18.2774
675,4.97E-01,9.12E-02,18.3365
676,4.97E-01,9.15E-02,18.3964
677,4.97E-01,9.17E-02,18.457
678,4.96E-01,9.19E-02,18.519
679,4.96E-01,9.20E-02,18.5822
680,4.95E-01,9.21E-02,18.6461
681,4.94E-01,9.23E-02,18.7104
682,4.92E-01,9.23E-02,18.7754
683,4.90E-01,9.21E-02,18.8407
684,4.86E-01,9.18E-02,18.9065
685,4.74E-01,8.99E-02,18.9731
686,4.48E-01,8.54E-02,19.0399
687,4.23E-01,8.10E-02,19.107
688,4.15E-01,7.97E-02,19.1745
689,4.22E-01,8.13E-02,19.2423
690,4.33E-01,8.37E-02,19.3107
691,4.39E-01,8.51E-02,19.3794
692,4.38E-01,8.51E-02,19.4478
693,4.32E-01,8.43E-02,19.5164
694,4.27E-01,8.36E-02,19.5847
695,4.32E-01,8.49E-02,19.6524
696,4.42E-01,8.71E-02,19.7195
697,4.51E-01,8.92E-02,19.7856
698,4.50E-01,8.92E-02,19.8509
699,4.42E-01,8.80E-02,19.9153
700,4.34E-01,8.67E-02,19.9787
701,4.31E-01,8.63E-02,20.0407
702,4.33E-01,8.70E-02,20.1023
703,4.39E-01,8.85E-02,20.1646
704,4.45E-01,9.00E-02,20.2283
705,4.49E-01,9.11E-02,20.2945
706,4.51E-01,9.18E-02,20.3615
707,4.53E-01,9.25E-02,20.428
708,4.55E-01,9.31E-02,20.4949
709,4.56E-01,9.37E-02,20.562
710,4.57E-01,9.42E-02,20.6296
711,4.57E-01,9.45E-02,20.6983
712,4.56E-01,9.46E-02,20.7684
713,4.53E-01,9.43E-02,20.8384
714,4.49E-01,9.37E-02,20.9083
715,4.32E-01,9.04E-02,20.9788
716,4.00E-01,8.41E-02,21.0506
717,3.60E-01,7.60E-02,21.1229
718,3.24E-01,6.87E-02,21.1952
719,3.11E-01,6.61E-02,21.2676
720,3.24E-01,6.93E-02,21.3399
721,3.53E-01,7.57E-02,21.4122
722,3.71E-01,7.96E-02,21.4842
723,3.66E-01,7.88E-02,21.5552
724,3.47E-01,7.50E-02,21.6252
725,3.38E-01,7.34E-02,21.6938
726,3.39E-01,7.37E-02,21.7613
727,3.41E-01,7.45E-02,21.828
728,3.43E-01,7.51E-02,21.8935
729,3.44E-01,7.56E-02,21.9578
730,3.48E-01,7.67E-02,22.0219
731,3.59E-01,7.93E-02,22.0858
732,3.77E-01,8.36E-02,22.1495
733,3.99E-01,8.87E-02,22.2123
734,4.11E-01,9.16E-02,22.2748
735,4.16E-01,9.28E-02,22.3375
736,4.16E-01,9.31E-02,22.4011
737,4.18E-01,9.38E-02,22.466
738,4.22E-01,9.49E-02,22.5315
739,4.25E-01,9.58E-02,22.5964
740,4.28E-01,9.68E-02,22.6605
741,4.32E-01,9.81E-02,22.7254
742,4.37E-01,9.94E-02,22.7908
