Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
1721,5.90E-02,1.94E-02,32.7928
1722,5.84E-02,1.92E-02,32.7541
1723,5.80E-02,1.90E-02,32.7159
1724,5.78E-02,1.89E-02,32.6805
1725,5.76E-02,1.88E-02,32.6453
1726,5.74E-02,1.87E-02,32.6138
1727,5.72E-02,1.86E-02,32.5832
1728,5.70E-02,1.85E-02,32.555
1729,5.66E-02,1.83E-02,32.5257
1730,5.61E-02,1.81E-02,32.5086
1731,5.54E-02,1.80E-02,32.5002
1732,5.47E-02,1.78E-02,32.5006
1733,5.41E-02,1.77E-02,32.5144
1734,5.36E-02,1.75E-02,32.5254
1735,5.32E-02,1.73E-02,32.5328
1736,5.27E-02,1.72E-02,32.5395
1737,5.23E-02,1.71E-02,32.5473
1738,5.20E-02,1.69E-02,32.5513
1739,5.16E-02,1.68E-02,32.5571
1740,5.13E-02,1.67E-02,32.5626
1741,5.09E-02,1.66E-02,32.5612
1742,5.06E-02,1.65E-02,32.5571
1743,5.03E-02,1.64E-02,32.5576
1744,5.00E-02,1.63E-02,32.5551
1745,4.98E-02,1.62E-02,32.5482
1746,4.96E-02,1.62E-02,32.5359
1747,4.95E-02,1.61E-02,32.5179
1748,4.94E-02,1.61E-02,32.4948
1749,4.92E-02,1.60E-02,32.4668
1750,4.91E-02,1.59E-02,32.4349
1751,4.87E-02,1.58E-02,32.401
1752,4.83E-02,1.57E-02,32.3672
1753,4.78E-02,1.55E-02,32.3351
1754,4.73E-02,1.53E-02,32.3063
1755,4.68E-02,1.51E-02,32.2767
1756,4.62E-02,1.49E-02,32.2474
1757,4.56E-02,1.47E-02,32.2145
1758,4.49E-02,1.44E-02,32.1812
1759,4.41E-02,1.42E-02,32.1505
1760,4.32E-02,1.39E-02,32.1235
1761,4.23E-02,1.36E-02,32.0982
1762,4.13E-02,1.32E-02,32.0879
1763,4.03E-02,1.29E-02,32.0855
1764,3.93E-02,1.26E-02,32.0962
1765,3.85E-02,1.24E-02,32.1072
1766,3.78E-02,1.21E-02,32.1172
1767,3.71E-02,1.19E-02,32.1269
1768,3.64E-02,1.17E-02,32.1423
1769,3.56E-02,1.15E-02,32.1659
1770,3.47E-02,1.12E-02,32.1953
1771,3.37E-02,1.09E-02,32.2282
1772,3.25E-02,1.05E-02,32.2663
1773,3.11E-02,1.01E-02,32.3043
1774,2.97E-02,9.61E-03,32.3404
1775,2.85E-02,9.20E-03,32.372
1776,2.73E-02,8.85E-03,32.4068
1777,2.63E-02,8.52E-03,32.4503
1778,2.53E-02,8.22E-03,32.5047
1779,2.45E-02,7.96E-03,32.566
1780,2.37E-02,7.74E-03,32.6337
1781,2.31E-02,7.54E-03,32.6957
1782,2.24E-02,7.33E-03,32.7475
1783,2.17E-02,7.11E-03,32.7808
1784,2.10E-02,6.89E-03,32.7941
1785,2.03E-02,6.66E-03,32.7996
1786,1.96E-02,6.42E-03,32.8102
1787,1.88E-02,6.19E-03,32.8232
1788,1.80E-02,5.93E-03,32.856
1789,1.70E-02,5.61E-03,32.9359
1790,1.58E-02,5.21E-03,33.0681
1791,1.44E-02,4.79E-03,33.2324
1792,1.31E-02,4.37E-03,33.4034
1793,1.19E-02,3.98E-03,33.5828
1794,1.07E-02,3.61E-03,33.7886
1795,9.60E-03,3.26E-03,33.9437
1796,8.70E-03,2.96E-03,33.9687
1797,8.00E-03,2.71E-03,33.8429
1798,7.40E-03,2.49E-03,33.655
1799,6.79E-03,2.28E-03,33.5045
1800,6.09E-03,2.04E-03,33.4017
1801,5.37E-03,1.79E-03,33.3106
1802,4.70E-03,1.57E-03,33.3204
1803,4.15E-03,1.39E-03,33.5263
1804,3.71E-03,1.26E-03,33.9545
1805,3.35E-03,1.15E-03,34.459
1806,3.04E-03,1.06E-03,34.8741
1807,2.80E-03,9.90E-04,35.1851
1808,2.62E-03,9.29E-04,35.4332
1809,2.46E-03,8.73E-04,35.5895
1810,2.30E-03,8.16E-04,35.6267
1811,2.15E-03,7.64E-04,35.5051
1812,2.01E-03,7.19E-04,35.3787
1813,1.88E-03,6.81E-04,35.5324
1814,1.76E-03,6.45E-04,36.2259
1815,1.66E-03,6.12E-04,37.1558
1816,1.58E-03,5.80E-04,37.811
1817,1.51E-03,5.52E-04,37.7976
1818,1.46E-03,5.28E-04,37.3095
1819,1.41E-03,5.07E-04,36.603
1820,1.37E-03,4.90E-04,35.9116
1821,1.34E-03,4.77E-04,35.0771
1822,1.31E-03,4.66E-04,34.1989
1823,1.28E-03,4.56E-04,33.587
1824,1.26E-03,4.47E-04,33.4679
1825,1.24E-03,4.40E-04,33.7035
1826,1.23E-03,4.34E-04,34.0897
1827,1.22E-03,4.30E-04,34.4379
1828,1.21E-03,4.27E-04,34.8041
1829,1.21E-03,4.25E-04,35.2076
1830,1.21E-03,4.23E-04,35.6074
1831,1.21E-03,4.22E-04,36.0802
1832,1.21E-03,4.21E-04,36.6136
1833,1.21E-03,4.21E-04,36.9317
1834,1.21E-03,4.22E-04,36.7447
1835,1.21E-03,4.22E-04,35.983
1836,1.20E-03,4.23E-04,35.0675
1837,1.20E-03,4.24E-04,34.4615
1838,1.20E-03,4.25E-04,34.3556
1839,1.21E-03,4.27E-04,34.5125
1840,1.21E-03,4.29E-04,34.7546
1841,1.21E-03,4.31E-04,34.9731
1842,1.21E-03,4.33E-04,35.2829
1843,1.22E-03,4.35E-04,35.5572
1844,1.22E-03,4.37E-04,35.6375
1845,1.23E-03,4.37E-04,35.4141
1846,1.23E-03,4.38E-04,35.067
1847,1.24E-03,4.37E-04,34.8435
1848,1.24E-03,4.37E-04,34.8984
1849,1.25E-03,4.37E-04,35.119
1850,1.25E-03,4.38E-04,35.4361
1851,1.25E-03,4.40E-04,35.8262
1852,1.25E-03,4.40E-04,36.4918
1853,1.25E-03,4.40E-04,37.1221
1854,1.24E-03,4.39E-04,37.2908
1855,1.24E-03,4.36E-04,36.6029
1856,1.23E-03,4.34E-04,35.3209
1857,1.23E-03,4.31E-04,34.0846
1858,1.22E-03,4.28E-04,33.4262
1859,1.21E-03,4.25E-04,33.1056
1860,1.20E-03,4.23E-04,33.0824
1861,1.20E-03,4.21E-04,33.4041
1862,1.20E-03,4.21E-04,34.382
1863,1.20E-03,4.21E-04,35.714
1864,1.21E-03,4.21E-04,36.7151
1865,1.22E-03,4.22E-04,36.7923
1866,1.25E-03,4.25E-04,36.1571
1867,1.27E-03,4.33E-04,35.43
1868,1.29E-03,4.45E-04,35.2151
1869,1.32E-03,4.56E-04,35.566
1870,1.35E-03,4.69E-04,36.1223
1871,1.39E-03,4.82E-04,36.5488
1872,1.44E-03,5.03E-04,36.6572
1873,1.51E-03,5.33E-04,36.6129
1874,1.58E-03,5.66E-04,36.5583
1875,1.67E-03,6.01E-04,36.5963
1876,1.77E-03,6.40E-04,36.6315
1877,1.88E-03,6.83E-04,36.7561
1878,1.98E-03,7.32E-04,37.1041
1879,2.08E-03,7.90E-04,38.0287
1880,2.16E-03,8.50E-04,39.1681
1881,2.19E-03,8.79E-04,39.7644
1882,2.15E-03,8.40E-04,37.1108
1883,2.04E-03,7.54E-04,34.7689
1884,1.89E-03,6.71E-04,35.2472
1885,1.72E-03,6.00E-04,36.905
1886,1.56E-03,5.45E-04,38.7496
1887,1.37E-03,4.83E-04,38.8133
1888,1.21E-03,3.97E-04,32.8291
1889,1.04E-03,2.89E-04,22.8335
1890,8.78E-04,2.02E-04,18.0289
1891,7.01E-04,1.60E-04,24.0146
1892,5.33E-04,1.70E-04,34.2698
1893,4.44E-04,1.77E-04,38.4373
1894,4.14E-04,1.62E-04,38.3312
1895,3.94E-04,1.48E-04,37.4831
1896,3.95E-04,1.49E-04,37.5481
1897,4.14E-04,1.57E-04,37.6151
1898,4.19E-04,1.63E-04,38.8889
1899,3.83E-04,1.68E-04,44.4102
1900,3.34E-04,1.69E-04,50.3737
1901,3.23E-04,1.51E-04,47.7269
1902,3.52E-04,1.05E-04,32.5668
1903,4.04E-04,5.78E-05,15.6303
1904,4.66E-04,4.40E-05,8.5289
1905,5.52E-04,6.05E-05,9.7187
1906,6.11E-04,8.29E-05,13.6224
1907,5.95E-04,1.03E-04,17.9321
1908,5.29E-04,1.20E-04,23.7767
1909,4.57E-04,1.25E-04,27.2727
1910,3.84E-04,1.02E-04,25.2363
1911,3.14E-04,6.89E-05,21.067
1912,2.78E-04,5.65E-05,20.4075
1913,2.87E-04,6.87E-05,23.917
1914,3.13E-04,9.12E-05,29.0679
1915,3.33E-04,1.14E-04,34.195
1916,3.51E-04,1.42E-04,40.1445
1917,3.68E-04,1.67E-04,45.1472
1918,3.84E-04,1.84E-04,48.3565
1919,3.96E-04,1.97E-04,50.2535
1920,3.95E-04,1.91E-04,48.2759
1921,3.67E-04,1.46E-04,38.2002
1922,3.28E-04,8.65E-05,25.0431
1923,3.02E-04,5.84E-05,19.8214
1924,2.93E-04,7.19E-05,25.139
1925,2.89E-04,9.53E-05,32.8346
1926,2.86E-04,1.03E-04,36.2654
1927,2.79E-04,1.04E-04,37.9227
1928,2.68E-04,9.54E-05,35.7571
1929,2.47E-04,6.59E-05,25.1493
1930,2.19E-04,2.17E-05,8.6244
1931,2.13E-04,1.00E-16,0
1932,2.44E-04,1.72E-05,5.3556
1933,2.91E-04,5.21E-05,16.7118
1934,3.33E-04,8.22E-05,24.6121
1935,3.62E-04,1.12E-04,30.0201
1936,3.98E-04,1.32E-04,32.4488
1937,4.57E-04,1.21E-04,28.2442
1938,5.33E-04,7.89E-05,17.2202
1939,6.24E-04,5.26E-05,8.6699
1940,7.35E-04,7.53E-05,8.9118
1941,8.56E-04,1.25E-04,13.6398
1942,9.58E-04,1.72E-04,17.8781
1943,1.04E-03,2.19E-04,20.9292
1944,1.11E-03,2.58E-04,23.3246
1945,1.17E-03,2.75E-04,23.5627
1946,1.24E-03,2.58E-04,21.083
1947,1.32E-03,2.42E-04,18.3753
1948,1.43E-03,2.54E-04,17.6546
1949,1.57E-03,2.85E-04,18.09
1950,1.67E-03,3.14E-04,18.7817
1951,1.73E-03,3.37E-04,19.5563
1952,1.75E-03,3.57E-04,20.4644
1953,1.75E-03,3.67E-04,21.0149
1954,1.70E-03,3.60E-04,21.0966
1955,1.67E-03,3.49E-04,20.9215
1956,1.72E-03,3.54E-04,20.6132
1957,1.83E-03,3.67E-04,20.0887
1958,2.04E-03,3.99E-04,19.5917
1959,2.37E-03,4.61E-04,19.3687
1960,2.82E-03,5.47E-04,19.2915
1961,3.41E-03,6.49E-04,19.0699
1962,4.14E-03,7.63E-04,18.5431
1963,4.99E-03,8.93E-04,17.9292
1964,5.98E-03,1.05E-03,17.488
1965,7.15E-03,1.23E-03,17.1813
1966,8.30E-03,1.41E-03,17.0131
1967,9.28E-03,1.58E-03,17.0373
1968,1.02E-02,1.75E-03,17.2372
1969,1.09E-02,1.91E-03,17.5048
1970,1.14E-02,2.03E-03,17.8624
1971,1.17E-02,2.14E-03,18.269
1972,1.22E-02,2.24E-03,18.4095
1973,1.27E-02,2.30E-03,18.1396
1974,1.33E-02,2.36E-03,17.737
1975,1.40E-02,2.44E-03,17.4921
1976,1.47E-02,2.55E-03,17.3379
1977,1.54E-02,2.66E-03,17.281
1978,1.60E-02,2.78E-03,17.3843
1979,1.65E-02,2.90E-03,17.6129
1980,1.70E-02,3.02E-03,17.7957
1981,1.75E-02,3.13E-03,17.8676
1982,1.81E-02,3.24E-03,17.9102
1983,1.85E-02,3.33E-03,17.9879
1984,1.88E-02,3.41E-03,18.0993
1985,1.90E-02,3.47E-03,18.2056
1986,1.91E-02,3.49E-03,18.2763
1987,1.90E-02,3.48E-03,18.3132
1988,1.89E-02,3.46E-03,18.3111
1989,1.90E-02,3.47E-03,18.271
1990,1.90E-02,3.47E-03,18.2508
