Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.17E-01,2.70E-03,2.2357
351,1.21E-01,2.75E-03,2.2356
352,1.26E-01,2.81E-03,2.2353
353,1.29E-01,2.86E-03,2.2349
354,1.30E-01,2.89E-03,2.2344
355,1.31E-01,2.91E-03,2.234
356,1.32E-01,2.93E-03,2.2342
357,1.32E-01,2.96E-03,2.235
358,1.34E-01,3.01E-03,2.2367
359,1.36E-01,3.08E-03,2.2394
360,1.41E-01,3.19E-03,2.243
361,1.49E-01,3.35E-03,2.2474
362,1.58E-01,3.55E-03,2.2524
363,1.66E-01,3.75E-03,2.2581
364,1.75E-01,3.94E-03,2.2646
365,1.83E-01,4.14E-03,2.2723
366,1.91E-01,4.33E-03,2.2816
367,1.98E-01,4.50E-03,2.2926
368,2.01E-01,4.61E-03,2.3053
369,2.01E-01,4.65E-03,2.3198
370,1.98E-01,4.61E-03,2.3362
371,1.93E-01,4.53E-03,2.3543
372,1.88E-01,4.47E-03,2.3739
373,1.86E-01,4.48E-03,2.3952
374,1.89E-01,4.58E-03,2.4183
375,1.95E-01,4.78E-03,2.4434
376,2.04E-01,5.04E-03,2.4706
377,2.16E-01,5.37E-03,2.4997
378,2.23E-01,5.60E-03,2.5312
379,2.20E-01,5.62E-03,2.5655
380,2.10E-01,5.45E-03,2.6024
381,1.96E-01,5.18E-03,2.6413
382,1.84E-01,4.97E-03,2.6821
383,1.79E-01,4.92E-03,2.725
384,1.80E-01,5.02E-03,2.7704
385,1.86E-01,5.25E-03,2.8186
386,1.96E-01,5.61E-03,2.8699
387,2.08E-01,6.05E-03,2.9246
388,2.20E-01,6.52E-03,2.9824
389,2.29E-01,6.90E-03,3.043
390,2.31E-01,7.10E-03,3.1062
391,2.27E-01,7.14E-03,3.1721
392,2.21E-01,7.09E-03,3.2405
393,2.12E-01,7.00E-03,3.3108
394,2.07E-01,7.00E-03,3.383
395,2.10E-01,7.24E-03,3.4567
396,2.23E-01,7.86E-03,3.532
397,2.44E-01,8.79E-03,3.6089
398,2.67E-01,9.86E-03,3.6875
399,2.92E-01,1.10E-02,3.7677
400,3.17E-01,1.23E-02,3.8492
401,3.38E-01,1.34E-02,3.9312
402,3.49E-01,1.41E-02,4.0132
403,3.56E-01,1.46E-02,4.0942
404,3.59E-01,1.49E-02,4.1737
405,3.60E-01,1.52E-02,4.2513
406,3.60E-01,1.55E-02,4.3265
407,3.63E-01,1.59E-02,4.3989
408,3.66E-01,1.64E-02,4.4688
409,3.71E-01,1.69E-02,4.5361
410,3.76E-01,1.74E-02,4.601
411,3.83E-01,1.79E-02,4.6633
412,3.90E-01,1.85E-02,4.723
413,3.95E-01,1.90E-02,4.7801
414,3.99E-01,1.94E-02,4.8342
415,4.00E-01,1.96E-02,4.885
416,3.99E-01,1.97E-02,4.9321
417,3.97E-01,1.98E-02,4.976
418,3.97E-01,1.99E-02,5.0174
419,3.98E-01,2.01E-02,5.0565
420,4.00E-01,2.04E-02,5.0928
421,4.02E-01,2.06E-02,5.126
422,4.01E-01,2.07E-02,5.1562
423,4.00E-01,2.07E-02,5.184
424,3.99E-01,2.08E-02,5.2098
425,3.99E-01,2.09E-02,5.2338
426,3.97E-01,2.09E-02,5.2561
427,3.90E-01,2.06E-02,5.2772
428,3.76E-01,2.00E-02,5.2974
429,3.59E-01,1.91E-02,5.317
430,3.54E-01,1.89E-02,5.336
431,3.67E-01,1.96E-02,5.3546
432,3.91E-01,2.09E-02,5.3724
433,4.09E-01,2.20E-02,5.3892
434,4.21E-01,2.27E-02,5.4054
435,4.32E-01,2.34E-02,5.4217
436,4.39E-01,2.39E-02,5.4383
437,4.38E-01,2.39E-02,5.4552
438,4.32E-01,2.37E-02,5.4721
439,4.34E-01,2.38E-02,5.4892
440,4.45E-01,2.44E-02,5.5065
441,4.60E-01,2.54E-02,5.5241
442,4.73E-01,2.62E-02,5.5419
443,4.80E-01,2.67E-02,5.56
444,4.81E-01,2.68E-02,5.5784
445,4.81E-01,2.69E-02,5.5969
446,4.85E-01,2.72E-02,5.6158
447,4.94E-01,2.77E-02,5.6347
448,5.06E-01,2.85E-02,5.653
449,5.17E-01,2.93E-02,5.6699
450,5.23E-01,2.98E-02,5.686
451,5.22E-01,2.99E-02,5.7019
452,5.14E-01,2.95E-02,5.7171
453,5.07E-01,2.92E-02,5.7313
454,5.10E-01,2.93E-02,5.7454
