Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
501,4.24E-01,4.31E-02,10.1605
502,4.23E-01,4.33E-02,10.2272
503,4.25E-01,4.38E-02,10.2951
504,4.30E-01,4.46E-02,10.3641
505,4.35E-01,4.54E-02,10.4339
506,4.37E-01,4.59E-02,10.5043
507,4.36E-01,4.61E-02,10.5756
508,4.35E-01,4.63E-02,10.6476
509,4.36E-01,4.67E-02,10.7208
510,4.38E-01,4.72E-02,10.7953
511,4.38E-01,4.75E-02,10.8706
512,4.34E-01,4.75E-02,10.947
513,4.29E-01,4.72E-02,11.0242
514,4.24E-01,4.71E-02,11.1021
515,4.15E-01,4.64E-02,11.1811
516,4.02E-01,4.53E-02,11.261
517,3.92E-01,4.45E-02,11.3418
518,3.95E-01,4.51E-02,11.4236
519,4.06E-01,4.67E-02,11.5057
520,4.17E-01,4.83E-02,11.5878
521,4.23E-01,4.93E-02,11.6695
522,4.25E-01,5.00E-02,11.7505
523,4.29E-01,5.08E-02,11.8309
524,4.30E-01,5.13E-02,11.9112
525,4.27E-01,5.13E-02,11.9924
526,4.19E-01,5.06E-02,12.0742
527,4.19E-01,5.10E-02,12.1565
528,4.27E-01,5.23E-02,12.2389
529,4.39E-01,5.41E-02,12.321
530,4.43E-01,5.50E-02,12.4029
531,4.41E-01,5.51E-02,12.4844
532,4.36E-01,5.48E-02,12.5657
533,4.34E-01,5.49E-02,12.6467
534,4.36E-01,5.54E-02,12.7272
535,4.40E-01,5.62E-02,12.8073
536,4.41E-01,5.66E-02,12.887
537,4.39E-01,5.67E-02,12.9661
538,4.35E-01,5.67E-02,13.0445
539,4.29E-01,5.64E-02,13.1224
540,4.25E-01,5.62E-02,13.1998
541,4.22E-01,5.62E-02,13.2769
542,4.25E-01,5.69E-02,13.3538
543,4.29E-01,5.77E-02,13.4308
544,4.31E-01,5.83E-02,13.5078
545,4.32E-01,5.87E-02,13.5846
546,4.32E-01,5.90E-02,13.6608
547,4.30E-01,5.91E-02,13.7363
548,4.31E-01,5.95E-02,13.8111
549,4.32E-01,5.99E-02,13.8852
550,4.33E-01,6.04E-02,13.9587
551,4.32E-01,6.06E-02,14.031
552,4.32E-01,6.09E-02,14.102
553,4.33E-01,6.13E-02,14.1715
554,4.34E-01,6.18E-02,14.2395
555,4.33E-01,6.19E-02,14.3063
