Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.17E-01,3.28E-03,2.7673
351,1.21E-01,3.37E-03,2.7678
352,1.26E-01,3.48E-03,2.7683
353,1.29E-01,3.55E-03,2.7687
354,1.30E-01,3.60E-03,2.769
355,1.31E-01,3.63E-03,2.7695
356,1.32E-01,3.65E-03,2.7705
357,1.32E-01,3.69E-03,2.7725
358,1.34E-01,3.74E-03,2.7757
359,1.36E-01,3.83E-03,2.7803
360,1.41E-01,3.97E-03,2.7864
361,1.49E-01,4.18E-03,2.7937
362,1.58E-01,4.42E-03,2.8018
363,1.66E-01,4.67E-03,2.8107
364,1.75E-01,4.91E-03,2.8207
365,1.83E-01,5.15E-03,2.8321
366,1.91E-01,5.39E-03,2.8457
367,1.98E-01,5.60E-03,2.862
368,2.01E-01,5.75E-03,2.881
369,2.01E-01,5.80E-03,2.9032
370,1.98E-01,5.77E-03,2.9283
371,1.93E-01,5.68E-03,2.9563
372,1.88E-01,5.63E-03,2.9866
373,1.86E-01,5.65E-03,3.0194
374,1.89E-01,5.79E-03,3.0549
375,1.95E-01,6.06E-03,3.0931
376,2.04E-01,6.40E-03,3.1346
377,2.16E-01,6.83E-03,3.1793
378,2.23E-01,7.14E-03,3.2284
379,2.20E-01,7.18E-03,3.2824
380,2.10E-01,6.98E-03,3.341
381,1.96E-01,6.67E-03,3.4032
382,1.84E-01,6.44E-03,3.469
383,1.79E-01,6.41E-03,3.5376
384,1.80E-01,6.57E-03,3.6092
385,1.86E-01,6.89E-03,3.6846
386,1.96E-01,7.38E-03,3.7658
387,2.08E-01,7.98E-03,3.8515
388,2.20E-01,8.61E-03,3.9409
389,2.29E-01,9.15E-03,4.033
390,2.31E-01,9.46E-03,4.1313
391,2.27E-01,9.56E-03,4.2371
392,2.21E-01,9.56E-03,4.3515
393,2.12E-01,9.51E-03,4.4744
394,2.07E-01,9.58E-03,4.606
395,2.10E-01,9.97E-03,4.7429
396,2.23E-01,1.08E-02,4.8822
397,2.44E-01,1.21E-02,5.0224
398,2.67E-01,1.37E-02,5.1651
399,2.92E-01,1.55E-02,5.3105
400,3.17E-01,1.74E-02,5.4579
401,3.38E-01,1.91E-02,5.6061
402,3.49E-01,2.03E-02,5.7565
403,3.56E-01,2.11E-02,5.906
404,3.59E-01,2.17E-02,6.0533
405,3.60E-01,2.21E-02,6.197
406,3.60E-01,2.27E-02,6.3378
407,3.63E-01,2.34E-02,6.4762
408,3.66E-01,2.42E-02,6.6127
409,3.71E-01,2.50E-02,6.7429
410,3.76E-01,2.59E-02,6.8659
411,3.83E-01,2.68E-02,6.9842
412,3.90E-01,2.77E-02,7.097
413,3.95E-01,2.85E-02,7.2033
414,3.99E-01,2.92E-02,7.3015
415,4.00E-01,2.96E-02,7.3867
416,3.99E-01,2.98E-02,7.4595
417,3.97E-01,3.00E-02,7.5247
418,3.97E-01,3.01E-02,7.5864
419,3.98E-01,3.04E-02,7.6471
420,4.00E-01,3.07E-02,7.7058
421,4.02E-01,3.10E-02,7.7596
422,4.01E-01,3.12E-02,7.8074
423,4.00E-01,3.13E-02,7.8495
424,3.99E-01,3.14E-02,7.8891
425,3.99E-01,3.16E-02,7.9264
426,3.97E-01,3.16E-02,7.9611
427,3.90E-01,3.12E-02,7.9915
428,3.76E-01,3.04E-02,8.0207
429,3.59E-01,2.92E-02,8.0489
430,3.54E-01,2.87E-02,8.0769
431,3.67E-01,2.95E-02,8.1049
432,3.91E-01,3.15E-02,8.1312
433,4.09E-01,3.31E-02,8.1539
434,4.21E-01,3.43E-02,8.1738
435,4.32E-01,3.53E-02,8.1935
436,4.39E-01,3.61E-02,8.2146
437,4.38E-01,3.62E-02,8.2367
438,4.32E-01,3.58E-02,8.2585
439,4.34E-01,3.59E-02,8.2799
440,4.45E-01,3.68E-02,8.3013
441,4.60E-01,3.82E-02,8.3225
442,4.73E-01,3.94E-02,8.3441
443,4.80E-01,4.02E-02,8.3668
444,4.81E-01,4.04E-02,8.3898
445,4.81E-01,4.05E-02,8.4131
446,4.85E-01,4.08E-02,8.4377
447,4.94E-01,4.15E-02,8.4637
448,5.06E-01,4.25E-02,8.4882
449,5.17E-01,4.36E-02,8.5091
450,5.23E-01,4.46E-02,8.5282
451,5.22E-01,4.49E-02,8.5477
452,5.14E-01,4.45E-02,8.5671
453,5.07E-01,4.39E-02,8.5857
454,5.10E-01,4.40E-02,8.6054
455,5.18E-01,4.47E-02,8.6273
456,5.25E-01,4.53E-02,8.6497
457,5.27E-01,4.56E-02,8.6678
458,5.26E-01,4.56E-02,8.6781
459,5.25E-01,4.56E-02,8.6819
460,5.30E-01,4.60E-02,8.6825
461,5.36E-01,4.66E-02,8.6868
462,5.40E-01,4.70E-02,8.7016
463,5.37E-01,4.69E-02,8.7066
464,5.32E-01,4.65E-02,8.7077
465,5.26E-01,4.61E-02,8.7115
466,5.24E-01,4.59E-02,8.7185
467,5.24E-01,4.59E-02,8.728
468,5.25E-01,4.61E-02,8.7381
469,5.25E-01,4.60E-02,8.7446
470,5.25E-01,4.61E-02,8.7541
471,5.29E-01,4.62E-02,8.761
472,5.35E-01,4.65E-02,8.7709
473,5.39E-01,4.67E-02,8.7974
474,5.39E-01,4.67E-02,8.8278
475,5.38E-01,4.74E-02,8.8599
476,5.38E-01,4.83E-02,8.8944
477,5.42E-01,4.93E-02,8.9275
478,5.48E-01,4.98E-02,8.9573
479,5.53E-01,5.00E-02,8.9864
480,5.56E-01,5.02E-02,9.0072
481,5.57E-01,5.03E-02,9.0263
482,5.55E-01,5.02E-02,9.0453
483,5.48E-01,4.97E-02,9.0623
484,5.29E-01,4.81E-02,9.0816
485,5.08E-01,4.63E-02,9.1064
486,4.93E-01,4.51E-02,9.1358
487,5.00E-01,4.55E-02,9.158
488,5.14E-01,4.68E-02,9.176
489,5.31E-01,4.86E-02,9.1934
490,5.35E-01,4.91E-02,9.2156
491,5.33E-01,4.92E-02,9.2306
492,5.30E-01,4.90E-02,9.2437
493,5.35E-01,4.95E-02,9.2602
494,5.41E-01,5.02E-02,9.2829
495,5.46E-01,5.08E-02,9.3115
496,5.45E-01,5.10E-02,9.3412
497,5.42E-01,5.09E-02,9.3708
498,5.37E-01,5.06E-02,9.4005
499,5.31E-01,5.01E-02,9.4314
500,5.24E-01,4.97E-02,9.4643
501,5.20E-01,4.95E-02,9.4998
502,5.19E-01,4.95E-02,9.5387
503,5.22E-01,4.99E-02,9.5799
504,5.27E-01,5.07E-02,9.6228
505,5.34E-01,5.15E-02,9.6659
506,5.36E-01,5.20E-02,9.7102
507,5.35E-01,5.22E-02,9.7575
508,5.33E-01,5.22E-02,9.8075
509,5.35E-01,5.26E-02,9.861
510,5.38E-01,5.33E-02,9.9186
511,5.38E-01,5.35E-02,9.9795
512,5.34E-01,5.35E-02,10.0426
513,5.27E-01,5.32E-02,10.1084
514,5.22E-01,5.31E-02,10.1772
515,5.11E-01,5.24E-02,10.2496
516,4.95E-01,5.12E-02,10.3258
517,4.84E-01,5.03E-02,10.4053
518,4.87E-01,5.10E-02,10.4869
519,5.01E-01,5.28E-02,10.5701
520,5.15E-01,5.47E-02,10.6537
521,5.22E-01,5.59E-02,10.7366
522,5.25E-01,5.67E-02,10.8171
523,5.30E-01,5.77E-02,10.8949
524,5.31E-01,5.84E-02,10.9712
525,5.27E-01,5.85E-02,11.0479
526,5.17E-01,5.78E-02,11.1294
527,5.18E-01,5.82E-02,11.2068
528,5.27E-01,5.96E-02,11.2792
529,5.43E-01,6.18E-02,11.352
530,5.48E-01,6.28E-02,11.4241
531,5.44E-01,6.29E-02,11.4956
532,5.38E-01,6.24E-02,11.5654
533,5.36E-01,6.24E-02,11.6321
534,5.38E-01,6.28E-02,11.6972
535,5.43E-01,6.36E-02,11.7597
536,5.43E-01,6.38E-02,11.8191
537,5.40E-01,6.37E-02,11.8751
538,5.36E-01,6.34E-02,11.9288
539,5.30E-01,6.32E-02,11.9783
540,5.25E-01,6.33E-02,12.0263
541,5.24E-01,6.36E-02,12.0755
542,5.28E-01,6.45E-02,12.1231
543,5.33E-01,6.52E-02,12.1687
544,5.36E-01,6.56E-02,12.2136
545,5.37E-01,6.59E-02,12.2567
546,5.36E-01,6.59E-02,12.296
547,5.34E-01,6.58E-02,12.3334
548,5.34E-01,6.60E-02,12.3666
549,5.36E-01,6.63E-02,12.4008
550,5.37E-01,6.67E-02,12.4328
551,5.36E-01,6.67E-02,12.4611
552,5.36E-01,6.69E-02,12.485
553,5.37E-01,6.71E-02,12.5051
554,5.38E-01,6.74E-02,12.521
555,5.37E-01,6.73E-02,12.5324
556,5.32E-01,6.69E-02,12.5393
557,5.25E-01,6.60E-02,12.5441
558,5.20E-01,6.54E-02,12.548
559,5.19E-01,6.51E-02,12.5511
560,5.21E-01,6.54E-02,12.5524
561,5.25E-01,6.59E-02,12.551
562,5.27E-01,6.62E-02,12.5462
563,5.27E-01,6.61E-02,12.5385
564,5.25E-01,6.58E-02,12.5273
565,5.23E-01,6.55E-02,12.5124
566,5.22E-01,6.52E-02,12.4948
567,5.20E-01,6.49E-02,12.475
568,5.17E-01,6.45E-02,12.4536
569,5.13E-01,6.39E-02,12.4312
570,5.11E-01,6.35E-02,12.4085
571,5.13E-01,6.36E-02,12.3859
572,5.18E-01,6.41E-02,12.364
573,5.23E-01,6.45E-02,12.3445
574,5.22E-01,6.43E-02,12.3267
575,5.19E-01,6.38E-02,12.3097
576,5.17E-01,6.35E-02,12.2942
577,5.16E-01,6.33E-02,12.2798
578,5.16E-01,6.31E-02,12.2668
579,5.17E-01,6.32E-02,12.2559
580,5.22E-01,6.37E-02,12.2471
581,5.26E-01,6.42E-02,12.2402
582,5.29E-01,6.46E-02,12.2352
583,5.30E-01,6.48E-02,12.2316
584,5.27E-01,6.45E-02,12.2291
585,5.23E-01,6.40E-02,12.2279
586,5.17E-01,6.34E-02,12.2282
587,5.04E-01,6.18E-02,12.2304
588,4.87E-01,5.99E-02,12.234
589,4.71E-01,5.79E-02,12.239
590,4.72E-01,5.79E-02,12.2456
591,4.80E-01,5.88E-02,12.2538
592,4.90E-01,6.01E-02,12.2627
593,4.90E-01,6.01E-02,12.2722
594,4.90E-01,6.02E-02,12.2817
595,4.92E-01,6.04E-02,12.2907
596,4.96E-01,6.08E-02,12.299
597,4.98E-01,6.12E-02,12.3061
598,5.00E-01,6.14E-02,12.3117
599,5.01E-01,6.16E-02,12.3162
600,5.01E-01,6.17E-02,12.3201
601,5.02E-01,6.19E-02,12.3235
602,5.04E-01,6.22E-02,12.3259
603,5.09E-01,6.29E-02,12.3279
604,5.12E-01,6.34E-02,12.3296
605,5.13E-01,6.35E-02,12.3308
606,5.11E-01,6.33E-02,12.3317
607,5.09E-01,6.29E-02,12.3324
608,5.06E-01,6.25E-02,12.3317
609,5.03E-01,6.21E-02,12.3298
610,5.01E-01,6.18E-02,12.3277
611,5.00E-01,6.16E-02,12.3251
612,4.98E-01,6.13E-02,12.3226
613,4.96E-01,6.10E-02,12.32
614,4.93E-01,6.06E-02,12.3168
615,4.89E-01,6.02E-02,12.3135
616,4.87E-01,5.99E-02,12.3104
617,4.88E-01,6.00E-02,12.307
618,4.92E-01,6.05E-02,12.3039
619,4.97E-01,6.11E-02,12.3013
620,4.98E-01,6.13E-02,12.2998
621,4.97E-01,6.11E-02,12.3001
622,4.94E-01,6.08E-02,12.3025
623,4.90E-01,6.03E-02,12.3073
624,4.86E-01,5.99E-02,12.3147
625,4.84E-01,5.96E-02,12.3239
626,4.82E-01,5.94E-02,12.334
627,4.81E-01,5.93E-02,12.3454
628,4.79E-01,5.91E-02,12.3574
629,4.76E-01,5.88E-02,12.3696
630,4.75E-01,5.88E-02,12.3816
631,4.76E-01,5.89E-02,12.3932
632,4.77E-01,5.90E-02,12.4044
633,4.79E-01,5.93E-02,12.4152
634,4.80E-01,5.95E-02,12.4251
635,4.81E-01,5.97E-02,12.4335
636,4.83E-01,6.01E-02,12.4403
637,4.85E-01,6.05E-02,12.4457
638,4.85E-01,6.06E-02,12.4499
639,4.84E-01,6.05E-02,12.4532
640,4.80E-01,6.00E-02,12.4561
641,4.79E-01,5.98E-02,12.459
642,4.79E-01,5.98E-02,12.4613
643,4.80E-01,5.99E-02,12.4624
644,4.78E-01,5.95E-02,12.4627
645,4.72E-01,5.88E-02,12.4629
646,4.65E-01,5.78E-02,12.4628
647,4.57E-01,5.69E-02,12.4614
648,4.53E-01,5.63E-02,12.4594
649,4.53E-01,5.63E-02,12.4567
650,4.56E-01,5.66E-02,12.4532
651,4.60E-01,5.72E-02,12.449
652,4.63E-01,5.75E-02,12.4444
653,4.62E-01,5.74E-02,12.44
654,4.54E-01,5.65E-02,12.4363
655,4.37E-01,5.44E-02,12.4338
656,4.25E-01,5.29E-02,12.4328
657,4.29E-01,5.34E-02,12.4331
658,4.48E-01,5.58E-02,12.4345
659,4.64E-01,5.77E-02,12.4364
660,4.70E-01,5.85E-02,12.4387
661,4.74E-01,5.91E-02,12.4415
662,4.76E-01,5.92E-02,12.4448
663,4.75E-01,5.91E-02,12.4482
664,4.74E-01,5.90E-02,12.4519
665,4.75E-01,5.91E-02,12.4564
666,4.74E-01,5.90E-02,12.4604
667,4.74E-01,5.90E-02,12.4643
668,4.74E-01,5.91E-02,12.4679
669,4.74E-01,5.91E-02,12.4712
670,4.73E-01,5.90E-02,12.474
