Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
1329,3.94E-02,8.26E-03,20.9772
1330,3.74E-02,7.77E-03,20.8557
1331,3.59E-02,7.42E-03,20.7406
1332,3.51E-02,7.21E-03,20.6289
1333,3.46E-02,7.08E-03,20.5148
1334,3.41E-02,6.95E-03,20.4048
1335,3.33E-02,6.77E-03,20.304
1336,3.26E-02,6.60E-03,20.2125
1337,3.18E-02,6.40E-03,20.1342
1338,3.05E-02,6.12E-03,20.0572
1339,2.87E-02,5.74E-03,19.9786
1340,2.64E-02,5.26E-03,19.8994
1341,2.40E-02,4.75E-03,19.8217
1342,2.14E-02,4.23E-03,19.7447
1343,1.87E-02,3.67E-03,19.6688
1344,1.57E-02,3.09E-03,19.5919
1345,1.30E-02,2.54E-03,19.5094
1346,1.07E-02,2.08E-03,19.4135
1347,8.76E-03,1.69E-03,19.2992
1348,7.08E-03,1.36E-03,19.1765
1349,5.69E-03,1.09E-03,19.0626
1350,4.62E-03,8.75E-04,18.9896
1351,3.91E-03,7.39E-04,18.9875
1352,3.43E-03,6.49E-04,18.9613
1353,3.07E-03,5.77E-04,18.8059
1354,2.77E-03,5.12E-04,18.4303
1355,2.62E-03,4.69E-04,17.8786
1356,2.55E-03,4.41E-04,17.2669
1357,2.49E-03,4.16E-04,16.7116
1358,2.44E-03,3.96E-04,16.2353
1359,2.43E-03,3.83E-04,15.79
1360,2.43E-03,3.72E-04,15.3655
1361,2.44E-03,3.65E-04,14.9717
1362,2.46E-03,3.60E-04,14.6155
1363,2.48E-03,3.54E-04,14.2826
1364,2.51E-03,3.47E-04,13.9304
1365,2.53E-03,3.38E-04,13.5132
1366,2.55E-03,3.30E-04,12.9942
1367,2.56E-03,3.23E-04,12.4746
1368,2.56E-03,3.16E-04,12.0705
1369,2.55E-03,3.09E-04,11.8811
1370,2.53E-03,3.03E-04,11.8686
1371,2.51E-03,2.99E-04,11.931
1372,2.47E-03,2.96E-04,11.9658
1373,2.44E-03,2.93E-04,11.9109
1374,2.40E-03,2.91E-04,11.8295
1375,2.35E-03,2.89E-04,11.8074
1376,2.30E-03,2.86E-04,11.9305
1377,2.25E-03,2.83E-04,12.2383
1378,2.20E-03,2.79E-04,12.6573
1379,2.15E-03,2.76E-04,13.0909
1380,2.10E-03,2.72E-04,13.4846
1381,2.04E-03,2.69E-04,13.8928
1382,1.98E-03,2.65E-04,14.2775
1383,1.92E-03,2.61E-04,14.5562
1384,1.87E-03,2.57E-04,14.6502
1385,1.81E-03,2.52E-04,14.5787
1386,1.76E-03,2.47E-04,14.4437
1387,1.71E-03,2.42E-04,14.3492
1388,1.66E-03,2.36E-04,14.3454
1389,1.61E-03,2.31E-04,14.3764
1390,1.56E-03,2.25E-04,14.4083
1391,1.52E-03,2.20E-04,14.411
1392,1.48E-03,2.15E-04,14.3875
1393,1.44E-03,2.10E-04,14.3432
1394,1.40E-03,2.06E-04,14.3014
1395,1.37E-03,2.02E-04,14.2752
1396,1.34E-03,2.00E-04,14.2343
1397,1.32E-03,1.98E-04,14.2108
1398,1.30E-03,1.96E-04,14.253
1399,1.28E-03,1.96E-04,14.3954
1400,1.27E-03,1.96E-04,14.6155
1401,1.26E-03,1.96E-04,14.8958
1402,1.25E-03,1.96E-04,15.22
1403,1.25E-03,1.96E-04,15.6337
1404,1.24E-03,1.97E-04,16.1391
1405,1.24E-03,1.97E-04,16.603
1406,1.24E-03,1.99E-04,16.8955
1407,1.25E-03,2.01E-04,17.0523
1408,1.26E-03,2.04E-04,17.097
1409,1.29E-03,2.07E-04,16.9922
1410,1.32E-03,2.11E-04,16.6869
1411,1.36E-03,2.16E-04,16.0938
1412,1.40E-03,2.21E-04,15.3678
1413,1.45E-03,2.27E-04,14.7088
1414,1.50E-03,2.33E-04,14.243
1415,1.56E-03,2.40E-04,13.8633
1416,1.63E-03,2.47E-04,13.5639
