Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.06E-01,3.93E-03,3.6233
351,1.10E-01,3.97E-03,3.6237
352,1.14E-01,4.03E-03,3.6239
353,1.16E-01,4.10E-03,3.6239
354,1.18E-01,4.16E-03,3.6238
355,1.18E-01,4.21E-03,3.6238
356,1.19E-01,4.25E-03,3.6241
357,1.19E-01,4.32E-03,3.6252
358,1.20E-01,4.40E-03,3.6273
359,1.22E-01,4.51E-03,3.6307
360,1.26E-01,4.65E-03,3.6354
361,1.33E-01,4.85E-03,3.6412
362,1.41E-01,5.11E-03,3.6476
363,1.48E-01,5.41E-03,3.6548
364,1.56E-01,5.69E-03,3.6631
365,1.63E-01,5.97E-03,3.6729
366,1.70E-01,6.23E-03,3.6846
367,1.75E-01,6.46E-03,3.6987
368,1.79E-01,6.60E-03,3.7153
369,1.79E-01,6.63E-03,3.7349
370,1.75E-01,6.56E-03,3.7572
371,1.70E-01,6.44E-03,3.7821
372,1.66E-01,6.35E-03,3.8095
373,1.64E-01,6.35E-03,3.8394
374,1.66E-01,6.48E-03,3.8722
375,1.71E-01,6.75E-03,3.908
376,1.79E-01,7.09E-03,3.9471
377,1.89E-01,7.53E-03,3.9898
378,1.95E-01,7.83E-03,4.0367
379,1.93E-01,7.85E-03,4.088
380,1.84E-01,7.59E-03,4.1437
381,1.71E-01,7.19E-03,4.2028
382,1.61E-01,6.88E-03,4.2645
383,1.56E-01,6.79E-03,4.3289
384,1.57E-01,6.92E-03,4.3968
385,1.62E-01,7.25E-03,4.4679
386,1.70E-01,7.74E-03,4.5423
387,1.80E-01,8.34E-03,4.6215
388,1.91E-01,8.96E-03,4.706
389,1.98E-01,9.47E-03,4.7953
390,2.00E-01,9.72E-03,4.8894
391,1.97E-01,9.74E-03,4.9877
392,1.91E-01,9.65E-03,5.0901
393,1.84E-01,9.51E-03,5.1944
394,1.79E-01,9.48E-03,5.2995
395,1.81E-01,9.78E-03,5.4057
396,1.92E-01,1.06E-02,5.5127
397,2.11E-01,1.18E-02,5.6208
398,2.30E-01,1.31E-02,5.7304
399,2.51E-01,1.47E-02,5.8413
400,2.71E-01,1.62E-02,5.9533
401,2.88E-01,1.76E-02,6.0655
402,2.96E-01,1.85E-02,6.1772
403,3.02E-01,1.91E-02,6.2872
404,3.05E-01,1.95E-02,6.3946
405,3.06E-01,1.98E-02,6.4987
406,3.07E-01,2.02E-02,6.5985
407,3.09E-01,2.07E-02,6.6932
408,3.12E-01,2.12E-02,6.7844
409,3.15E-01,2.17E-02,6.873
410,3.20E-01,2.23E-02,6.9598
411,3.25E-01,2.29E-02,7.0424
412,3.31E-01,2.36E-02,7.1182
413,3.36E-01,2.42E-02,7.1866
414,3.38E-01,2.46E-02,7.2497
415,3.39E-01,2.49E-02,7.3095
416,3.38E-01,2.50E-02,7.3677
417,3.36E-01,2.50E-02,7.4236
418,3.36E-01,2.51E-02,7.4747
419,3.37E-01,2.53E-02,7.5196
420,3.39E-01,2.55E-02,7.5589
421,3.40E-01,2.57E-02,7.5935
422,3.39E-01,2.58E-02,7.6247
423,3.38E-01,2.58E-02,7.6539
424,3.36E-01,2.58E-02,7.6801
425,3.36E-01,2.58E-02,7.7027
426,3.34E-01,2.58E-02,7.7223
427,3.28E-01,2.54E-02,7.7397
428,3.16E-01,2.47E-02,7.7555
429,3.02E-01,2.36E-02,7.7701
430,2.97E-01,2.32E-02,7.7843
431,3.07E-01,2.39E-02,7.7981
432,3.27E-01,2.54E-02,7.8104
433,3.42E-01,2.66E-02,7.8198
434,3.52E-01,2.75E-02,7.827
435,3.62E-01,2.82E-02,7.834
436,3.67E-01,2.88E-02,7.8423
437,3.66E-01,2.88E-02,7.8519
438,3.61E-01,2.85E-02,7.8618
439,3.62E-01,2.85E-02,7.872
440,3.71E-01,2.92E-02,7.8826
441,3.84E-01,3.02E-02,7.8936
442,3.95E-01,3.11E-02,7.9055
443,4.01E-01,3.16E-02,7.9186
444,4.01E-01,3.18E-02,7.9324
445,4.01E-01,3.19E-02,7.9465
446,4.04E-01,3.21E-02,7.9616
447,4.12E-01,3.26E-02,7.978
448,4.22E-01,3.34E-02,7.9935
449,4.32E-01,3.43E-02,8.0064
450,4.36E-01,3.49E-02,8.0178
451,4.34E-01,3.51E-02,8.0289
452,4.27E-01,3.46E-02,8.0393
453,4.20E-01,3.41E-02,8.0487
454,4.23E-01,3.42E-02,8.0584
455,4.29E-01,3.46E-02,8.0694
456,4.35E-01,3.51E-02,8.0804
457,4.37E-01,3.53E-02,8.0876
458,4.36E-01,3.53E-02,8.0879
459,4.35E-01,3.52E-02,8.0817
460,4.39E-01,3.54E-02,8.0719
461,4.43E-01,3.58E-02,8.0646
462,4.47E-01,3.61E-02,8.0607
463,4.44E-01,3.59E-02,8.0587
464,4.40E-01,3.55E-02,8.0564
465,4.35E-01,3.51E-02,8.0529
466,4.33E-01,3.49E-02,8.0407
467,4.33E-01,3.49E-02,8.0313
468,4.34E-01,3.49E-02,8.0281
469,4.33E-01,3.48E-02,8.0237
470,4.33E-01,3.48E-02,8.0192
471,4.37E-01,3.49E-02,8.0172
472,4.43E-01,3.51E-02,8.0232
473,4.47E-01,3.53E-02,8.0292
474,4.48E-01,3.54E-02,8.0363
475,4.46E-01,3.56E-02,8.0457
476,4.43E-01,3.59E-02,8.0589
477,4.42E-01,3.63E-02,8.0657
478,4.46E-01,3.66E-02,8.0728
479,4.51E-01,3.68E-02,8.0808
480,4.55E-01,3.69E-02,8.0894
481,4.57E-01,3.70E-02,8.0925
482,4.55E-01,3.69E-02,8.0933
483,4.50E-01,3.64E-02,8.0949
484,4.34E-01,3.52E-02,8.0964
485,4.17E-01,3.39E-02,8.1093
486,4.05E-01,3.28E-02,8.122
487,4.09E-01,3.31E-02,8.128
488,4.21E-01,3.40E-02,8.1311
489,4.34E-01,3.52E-02,8.1312
490,4.38E-01,3.56E-02,8.1359
491,4.36E-01,3.55E-02,8.1458
492,4.34E-01,3.54E-02,8.1494
493,4.37E-01,3.57E-02,8.1574
494,4.42E-01,3.62E-02,8.1724
495,4.46E-01,3.66E-02,8.1952
496,4.45E-01,3.67E-02,8.2218
497,4.43E-01,3.66E-02,8.2516
498,4.39E-01,3.64E-02,8.2867
499,4.33E-01,3.61E-02,8.326
500,4.28E-01,3.59E-02,8.3714
501,4.24E-01,3.58E-02,8.4212
502,4.23E-01,3.59E-02,8.4732
503,4.25E-01,3.63E-02,8.5339
504,4.30E-01,3.70E-02,8.6009
505,4.35E-01,3.77E-02,8.674
506,4.37E-01,3.83E-02,8.7556
507,4.36E-01,3.86E-02,8.8472
508,4.35E-01,3.89E-02,8.9489
509,4.36E-01,3.95E-02,9.0614
510,4.38E-01,4.02E-02,9.187
511,4.38E-01,4.08E-02,9.3276
512,4.34E-01,4.12E-02,9.4838
513,4.29E-01,4.14E-02,9.6526
514,4.24E-01,4.17E-02,9.8358
