Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.26E-01,2.85E-03,2.2248
351,1.30E-01,2.92E-03,2.2256
352,1.35E-01,3.01E-03,2.2265
353,1.38E-01,3.07E-03,2.2276
354,1.40E-01,3.11E-03,2.2288
355,1.41E-01,3.13E-03,2.2301
356,1.41E-01,3.15E-03,2.2318
357,1.42E-01,3.18E-03,2.2341
358,1.43E-01,3.23E-03,2.2373
359,1.46E-01,3.30E-03,2.2415
360,1.51E-01,3.43E-03,2.2467
361,1.59E-01,3.61E-03,2.2526
362,1.69E-01,3.82E-03,2.2592
363,1.78E-01,4.03E-03,2.2664
364,1.87E-01,4.24E-03,2.2742
365,1.95E-01,4.45E-03,2.283
366,2.04E-01,4.65E-03,2.2931
367,2.11E-01,4.83E-03,2.3048
368,2.15E-01,4.95E-03,2.3181
369,2.15E-01,4.98E-03,2.333
370,2.11E-01,4.93E-03,2.3495
371,2.05E-01,4.85E-03,2.3675
372,2.00E-01,4.78E-03,2.3866
373,1.99E-01,4.79E-03,2.4071
374,2.01E-01,4.90E-03,2.4288
375,2.08E-01,5.11E-03,2.4519
376,2.18E-01,5.39E-03,2.4766
377,2.30E-01,5.73E-03,2.5026
378,2.37E-01,5.97E-03,2.5303
379,2.34E-01,5.97E-03,2.56
380,2.23E-01,5.76E-03,2.5914
381,2.08E-01,5.46E-03,2.6238
382,1.96E-01,5.23E-03,2.657
383,1.90E-01,5.17E-03,2.6908
384,1.91E-01,5.26E-03,2.7255
385,1.97E-01,5.48E-03,2.7614
386,2.08E-01,5.83E-03,2.7988
387,2.21E-01,6.25E-03,2.838
388,2.34E-01,6.69E-03,2.8789
389,2.43E-01,7.03E-03,2.9209
390,2.45E-01,7.19E-03,2.9638
391,2.41E-01,7.18E-03,3.0075
392,2.34E-01,7.09E-03,3.0519
393,2.25E-01,6.95E-03,3.0966
394,2.19E-01,6.90E-03,3.1414
395,2.22E-01,7.09E-03,3.1859
396,2.37E-01,7.64E-03,3.2304
397,2.59E-01,8.47E-03,3.2751
398,2.84E-01,9.42E-03,3.3202
399,3.10E-01,1.05E-02,3.3661
400,3.35E-01,1.15E-02,3.4127
401,3.56E-01,1.24E-02,3.4595
402,3.67E-01,1.30E-02,3.5064
403,3.74E-01,1.33E-02,3.5526
404,3.78E-01,1.36E-02,3.5977
405,3.79E-01,1.37E-02,3.6416
406,3.80E-01,1.39E-02,3.684
407,3.83E-01,1.42E-02,3.7248
408,3.87E-01,1.45E-02,3.7644
409,3.91E-01,1.49E-02,3.8032
410,3.97E-01,1.53E-02,3.8415
411,4.04E-01,1.57E-02,3.8793
412,4.11E-01,1.61E-02,3.9166
413,4.17E-01,1.65E-02,3.9537
414,4.20E-01,1.68E-02,3.9902
415,4.21E-01,1.70E-02,4.0258
416,4.21E-01,1.71E-02,4.06
417,4.19E-01,1.72E-02,4.0932
418,4.18E-01,1.72E-02,4.1263
419,4.20E-01,1.74E-02,4.1594
420,4.22E-01,1.77E-02,4.1921
421,4.24E-01,1.78E-02,4.2238
422,4.23E-01,1.80E-02,4.2541
423,4.21E-01,1.80E-02,4.2835
424,4.20E-01,1.81E-02,4.3122
425,4.20E-01,1.82E-02,4.3402
426,4.17E-01,1.83E-02,4.3678
427,4.10E-01,1.81E-02,4.3951
428,3.96E-01,1.76E-02,4.4222
429,3.77E-01,1.69E-02,4.4495
430,3.72E-01,1.67E-02,4.4771
431,3.86E-01,1.74E-02,4.5049
432,4.11E-01,1.85E-02,4.5323
433,4.30E-01,1.95E-02,4.5587
434,4.43E-01,2.02E-02,4.5843
435,4.55E-01,2.09E-02,4.61
436,4.62E-01,2.14E-02,4.6363
437,4.60E-01,2.15E-02,4.6631
438,4.54E-01,2.13E-02,4.6902
