Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.17E-01,4.88E-03,4.1393
351,1.21E-01,5.03E-03,4.1411
352,1.26E-01,5.19E-03,4.1436
353,1.29E-01,5.31E-03,4.1467
354,1.30E-01,5.39E-03,4.1502
355,1.31E-01,5.44E-03,4.1544
356,1.32E-01,5.49E-03,4.1593
357,1.32E-01,5.54E-03,4.1656
358,1.34E-01,5.61E-03,4.1739
359,1.36E-01,5.75E-03,4.1843
360,1.41E-01,5.98E-03,4.1971
361,1.49E-01,6.30E-03,4.2122
362,1.58E-01,6.68E-03,4.2297
363,1.66E-01,7.06E-03,4.2493
364,1.75E-01,7.44E-03,4.2706
365,1.83E-01,7.81E-03,4.2934
366,1.91E-01,8.19E-03,4.3176
367,1.98E-01,8.52E-03,4.3444
368,2.01E-01,8.75E-03,4.3749
369,2.01E-01,8.83E-03,4.4093
370,1.98E-01,8.76E-03,4.4478
371,1.93E-01,8.63E-03,4.4903
372,1.88E-01,8.53E-03,4.5368
373,1.86E-01,8.57E-03,4.5869
374,1.89E-01,8.79E-03,4.6399
375,1.95E-01,9.20E-03,4.695
376,2.04E-01,9.73E-03,4.7523
377,2.16E-01,1.04E-02,4.8136
378,2.23E-01,1.08E-02,4.8789
379,2.20E-01,1.08E-02,4.9489
380,2.10E-01,1.05E-02,5.0233
381,1.96E-01,9.97E-03,5.1014
382,1.84E-01,9.59E-03,5.1831
383,1.79E-01,9.52E-03,5.2675
384,1.80E-01,9.73E-03,5.3541
385,1.86E-01,1.02E-02,5.4437
386,1.96E-01,1.08E-02,5.5383
387,2.08E-01,1.17E-02,5.6369
388,2.20E-01,1.26E-02,5.7392
389,2.29E-01,1.33E-02,5.8444
390,2.31E-01,1.36E-02,5.956
391,2.27E-01,1.37E-02,6.0743
392,2.21E-01,1.36E-02,6.1994
393,2.12E-01,1.34E-02,6.3309
394,2.07E-01,1.34E-02,6.4685
395,2.10E-01,1.39E-02,6.6091
396,2.23E-01,1.50E-02,6.7507
397,2.44E-01,1.68E-02,6.8923
398,2.67E-01,1.88E-02,7.036
399,2.92E-01,2.11E-02,7.1823
400,3.17E-01,2.34E-02,7.3307
401,3.38E-01,2.55E-02,7.4799
402,3.49E-01,2.68E-02,7.6312
403,3.56E-01,2.77E-02,7.7817
404,3.59E-01,2.83E-02,7.9299
405,3.60E-01,2.88E-02,8.0746
406,3.60E-01,2.94E-02,8.2153
407,3.63E-01,3.02E-02,8.353
408,3.66E-01,3.11E-02,8.4887
409,3.71E-01,3.20E-02,8.6214
410,3.76E-01,3.30E-02,8.7488
411,3.83E-01,3.40E-02,8.8716
412,3.90E-01,3.51E-02,8.9897
413,3.95E-01,3.61E-02,9.1038
414,3.99E-01,3.68E-02,9.2135
415,4.00E-01,3.73E-02,9.3149
416,3.99E-01,3.76E-02,9.4077
417,3.97E-01,3.78E-02,9.4952
418,3.97E-01,3.80E-02,9.5794
419,3.98E-01,3.84E-02,9.6601
420,4.00E-01,3.89E-02,9.737
421,4.02E-01,3.93E-02,9.8085
422,4.01E-01,3.95E-02,9.8763
423,4.00E-01,3.97E-02,9.942
424,3.99E-01,3.98E-02,10.0057
425,3.99E-01,4.01E-02,10.0666
426,3.97E-01,4.02E-02,10.1251
427,3.90E-01,3.97E-02,10.1821
428,3.76E-01,3.86E-02,10.2383
429,3.59E-01,3.71E-02,10.2939
430,3.54E-01,3.67E-02,10.3496
431,3.67E-01,3.80E-02,10.4053
432,3.91E-01,4.06E-02,10.4594
