Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.13E-01,2.94E-03,2.5276
351,1.17E-01,3.00E-03,2.5272
352,1.21E-01,3.06E-03,2.5266
353,1.24E-01,3.11E-03,2.5258
354,1.26E-01,3.14E-03,2.5248
355,1.26E-01,3.16E-03,2.5242
356,1.27E-01,3.18E-03,2.5242
357,1.27E-01,3.22E-03,2.5251
358,1.28E-01,3.27E-03,2.5271
359,1.31E-01,3.35E-03,2.5302
360,1.36E-01,3.47E-03,2.5345
361,1.43E-01,3.64E-03,2.5396
362,1.51E-01,3.84E-03,2.5454
363,1.60E-01,4.06E-03,2.5518
364,1.67E-01,4.27E-03,2.5593
365,1.75E-01,4.48E-03,2.5685
366,1.83E-01,4.69E-03,2.5796
367,1.89E-01,4.88E-03,2.5929
368,1.93E-01,5.00E-03,2.6084
369,1.93E-01,5.04E-03,2.6261
370,1.89E-01,5.00E-03,2.6459
371,1.84E-01,4.91E-03,2.6674
372,1.80E-01,4.85E-03,2.6904
373,1.78E-01,4.86E-03,2.7151
374,1.80E-01,4.96E-03,2.742
375,1.86E-01,5.18E-03,2.7711
376,1.95E-01,5.46E-03,2.8026
377,2.06E-01,5.82E-03,2.8366
378,2.13E-01,6.08E-03,2.8738
379,2.10E-01,6.11E-03,2.9143
380,2.00E-01,5.92E-03,2.9579
381,1.86E-01,5.62E-03,3.0037
382,1.76E-01,5.40E-03,3.0515
383,1.71E-01,5.34E-03,3.1015
384,1.72E-01,5.45E-03,3.1542
385,1.77E-01,5.70E-03,3.2093
386,1.86E-01,6.08E-03,3.2673
387,1.98E-01,6.56E-03,3.3293
388,2.10E-01,7.06E-03,3.3953
389,2.18E-01,7.48E-03,3.4648
390,2.20E-01,7.70E-03,3.5382
391,2.16E-01,7.76E-03,3.6152
392,2.10E-01,7.71E-03,3.6958
393,2.02E-01,7.62E-03,3.7784
394,1.97E-01,7.63E-03,3.8624
395,2.00E-01,7.90E-03,3.9482
396,2.13E-01,8.56E-03,4.0354
397,2.33E-01,9.57E-03,4.1244
398,2.55E-01,1.07E-02,4.2156
399,2.79E-01,1.20E-02,4.309
400,3.01E-01,1.33E-02,4.4041
401,3.20E-01,1.45E-02,4.5002
402,3.29E-01,1.53E-02,4.5965
403,3.36E-01,1.58E-02,4.692
404,3.39E-01,1.62E-02,4.7859
405,3.41E-01,1.66E-02,4.8777
406,3.42E-01,1.69E-02,4.9666
407,3.44E-01,1.74E-02,5.0525
408,3.48E-01,1.79E-02,5.1358
409,3.52E-01,1.84E-02,5.2163
410,3.57E-01,1.90E-02,5.2952
