Wvl,Rad. (Ref.),Rad. (Target),Reflect. %
350,1.21E-01,2.96E-03,2.3853
351,1.25E-01,3.00E-03,2.3875
352,1.30E-01,3.06E-03,2.3906
353,1.33E-01,3.11E-03,2.3947
354,1.34E-01,3.16E-03,2.3997
355,1.35E-01,3.20E-03,2.4058
356,1.36E-01,3.24E-03,2.4129
357,1.37E-01,3.30E-03,2.4215
358,1.38E-01,3.38E-03,2.4319
359,1.40E-01,3.48E-03,2.4441
360,1.46E-01,3.62E-03,2.458
361,1.53E-01,3.81E-03,2.4734
362,1.63E-01,4.04E-03,2.4899
363,1.71E-01,4.30E-03,2.5075
364,1.80E-01,4.54E-03,2.5265
365,1.88E-01,4.79E-03,2.5472
366,1.97E-01,5.03E-03,2.5699
367,2.04E-01,5.24E-03,2.5945
368,2.08E-01,5.39E-03,2.6209
369,2.08E-01,5.45E-03,2.6491
370,2.04E-01,5.42E-03,2.6788
371,1.98E-01,5.35E-03,2.7096
372,1.94E-01,5.30E-03,2.7413
373,1.92E-01,5.33E-03,2.774
374,1.94E-01,5.48E-03,2.8082
375,2.01E-01,5.74E-03,2.844
376,2.10E-01,6.07E-03,2.8816
377,2.22E-01,6.48E-03,2.9209
378,2.29E-01,6.77E-03,2.9627
379,2.27E-01,6.80E-03,3.0071
380,2.16E-01,6.59E-03,3.0536
381,2.01E-01,6.26E-03,3.1012
382,1.90E-01,6.01E-03,3.1494
383,1.85E-01,5.94E-03,3.1983
384,1.85E-01,6.06E-03,3.2481
385,1.92E-01,6.34E-03,3.2994
386,2.02E-01,6.76E-03,3.3531
387,2.14E-01,7.29E-03,3.4097
388,2.27E-01,7.83E-03,3.4694
389,2.35E-01,8.27E-03,3.5316
390,2.38E-01,8.50E-03,3.596
391,2.34E-01,8.52E-03,3.6623
392,2.27E-01,8.43E-03,3.7305
393,2.19E-01,8.30E-03,3.8002
394,2.13E-01,8.27E-03,3.8708
395,2.16E-01,8.52E-03,3.9424
396,2.30E-01,9.18E-03,4.015
397,2.52E-01,1.02E-02,4.0887
398,2.76E-01,1.14E-02,4.1638
399,3.01E-01,1.28E-02,4.2403
400,3.27E-01,1.41E-02,4.318
401,3.48E-01,1.54E-02,4.3961
402,3.59E-01,1.62E-02,4.4741
403,3.66E-01,1.67E-02,4.5509
404,3.69E-01,1.71E-02,4.6259
405,3.70E-01,1.73E-02,4.6987
406,3.71E-01,1.76E-02,4.7687
407,3.74E-01,1.81E-02,4.8357
408,3.77E-01,1.85E-02,4.9002
409,3.82E-01,1.90E-02,4.9627
410,3.88E-01,1.95E-02,5.0229
411,3.94E-01,2.01E-02,5.0805
412,4.01E-01,2.07E-02,5.1356
413,4.07E-01,2.12E-02,5.1886
414,4.11E-01,2.16E-02,5.2387
415,4.12E-01,2.18E-02,5.285
416,4.11E-01,2.20E-02,5.3266
417,4.09E-01,2.20E-02,5.3641
418,4.09E-01,2.21E-02,5.3992
419,4.10E-01,2.23E-02,5.433
420,4.13E-01,2.25E-02,5.4647
421,4.14E-01,2.27E-02,5.4935
422,4.14E-01,2.28E-02,5.5193
423,4.12E-01,2.28E-02,5.5426
424,4.11E-01,2.29E-02,5.5638
425,4.11E-01,2.29E-02,5.5828
426,4.09E-01,2.29E-02,5.6
427,4.02E-01,2.26E-02,5.6157
428,3.88E-01,2.20E-02,5.6305
429,3.70E-01,2.10E-02,5.6444
430,3.65E-01,2.07E-02,5.658
431,3.79E-01,2.14E-02,5.6714
432,4.03E-01,2.27E-02,5.6838
433,4.22E-01,2.39E-02,5.6941
434,4.34E-01,2.47E-02,5.7028
435,4.46E-01,2.54E-02,5.7113
436,4.53E-01,2.59E-02,5.7207
437,4.52E-01,2.60E-02,5.7307
438,4.46E-01,2.57E-02,5.7407
439,4.48E-01,2.58E-02,5.7505
440,4.59E-01,2.64E-02,5.7605
441,4.75E-01,2.74E-02,5.7706
442,4.89E-01,2.82E-02,5.7811
443,4.96E-01,2.87E-02,5.7922
444,4.97E-01,2.89E-02,5.8036
445,4.97E-01,2.89E-02,5.8151
446,5.01E-01,2.91E-02,5.8273
447,5.11E-01,2.96E-02,5.8402
448,5.23E-01,3.04E-02,5.8521
449,5.35E-01,3.12E-02,5.862
450,5.41E-01,3.17E-02,5.8707
451,5.39E-01,3.19E-02,5.8794
452,5.31E-01,3.16E-02,5.8877
453,5.24E-01,3.11E-02,5.8953
454,5.28E-01,3.12E-02,5.9031
455,5.35E-01,3.16E-02,5.9117
456,5.43E-01,3.20E-02,5.9202
457,5.45E-01,3.23E-02,5.9261
458,5.44E-01,3.23E-02,5.9274
459,5.43E-01,3.22E-02,5.9247
460,5.48E-01,3.25E-02,5.9198
461,5.55E-01,3.28E-02,5.9164
462,5.59E-01,3.31E-02,5.9148
463,5.56E-01,3.30E-02,5.9138
464,5.51E-01,3.27E-02,5.9123
465,5.45E-01,3.23E-02,5.9099
466,5.43E-01,3.21E-02,5.9067
467,5.43E-01,3.21E-02,5.903
468,5.44E-01,3.22E-02,5.9004
469,5.44E-01,3.21E-02,5.9003
470,5.44E-01,3.21E-02,5.9029
471,5.48E-01,3.22E-02,5.9023
472,5.55E-01,3.24E-02,5.9015
473,5.60E-01,3.26E-02,5.9054
474,5.60E-01,3.25E-02,5.9084
475,5.59E-01,3.28E-02,5.9112
476,5.58E-01,3.32E-02,5.9136
477,5.61E-01,3.36E-02,5.9164
478,5.66E-01,3.39E-02,5.9189
479,5.72E-01,3.42E-02,5.9213
480,5.76E-01,3.43E-02,5.9241
481,5.77E-01,3.44E-02,5.9277
482,5.76E-01,3.43E-02,5.9322
483,5.69E-01,3.38E-02,5.9373
484,5.49E-01,3.27E-02,5.9427
485,5.27E-01,3.15E-02,5.9487
486,5.12E-01,3.05E-02,5.9553
487,5.19E-01,3.08E-02,5.9623
488,5.34E-01,3.17E-02,5.9695
489,5.51E-01,3.28E-02,5.9759
490,5.55E-01,3.31E-02,5.9808
491,5.54E-01,3.31E-02,5.9848
492,5.50E-01,3.30E-02,5.9885
493,5.56E-01,3.33E-02,5.9951
494,5.62E-01,3.37E-02,6.0056
495,5.67E-01,3.41E-02,6.0203
496,5.66E-01,3.42E-02,6.037
497,5.63E-01,3.41E-02,6.055
498,5.58E-01,3.40E-02,6.0743
499,5.52E-01,3.37E-02,6.0958
500,5.45E-01,3.34E-02,6.1201
501,5.41E-01,3.33E-02,6.1477
502,5.40E-01,3.34E-02,6.179
503,5.43E-01,3.37E-02,6.2135
504,5.49E-01,3.43E-02,6.251
505,5.55E-01,3.49E-02,6.2905
506,5.58E-01,3.53E-02,6.3328
507,5.56E-01,3.55E-02,6.3794
508,5.55E-01,3.56E-02,6.43
509,5.57E-01,3.60E-02,6.4854
510,5.60E-01,3.65E-02,6.5461
511,5.60E-01,3.69E-02,6.6114
512,5.56E-01,3.70E-02,6.6809
513,5.49E-01,3.69E-02,6.7546
514,5.43E-01,3.70E-02,6.8329
515,5.32E-01,3.67E-02,6.9159
516,5.16E-01,3.61E-02,7.0036
517,5.03E-01,3.56E-02,7.0956
518,5.07E-01,3.63E-02,7.1909
519,5.22E-01,3.79E-02,7.289
520,5.36E-01,3.94E-02,7.3888
521,5.44E-01,4.06E-02,7.4894
522,5.47E-01,4.14E-02,7.5894
523,5.52E-01,4.24E-02,7.688
524,5.53E-01,4.32E-02,7.7857
525,5.49E-01,4.35E-02,7.8877
526,5.38E-01,4.32E-02,7.9883
527,5.39E-01,4.37E-02,8.0871
528,5.49E-01,4.50E-02,8.1831
529,5.66E-01,4.69E-02,8.2702
530,5.71E-01,4.78E-02,8.3547
531,5.68E-01,4.81E-02,8.436
532,5.61E-01,4.79E-02,8.513
533,5.59E-01,4.81E-02,8.5838
534,5.62E-01,4.86E-02,8.6523
535,5.67E-01,4.93E-02,8.7151
536,5.67E-01,4.96E-02,8.7759
537,5.65E-01,4.96E-02,8.834
538,5.60E-01,4.94E-02,8.8882
539,5.53E-01,4.93E-02,8.9389
540,5.48E-01,4.92E-02,8.9863
541,5.46E-01,4.94E-02,9.031
542,5.50E-01,5.01E-02,9.0734
543,5.55E-01,5.07E-02,9.1134
544,5.58E-01,5.11E-02,9.1507
545,5.60E-01,5.14E-02,9.1846
546,5.59E-01,5.14E-02,9.2152
547,5.57E-01,5.14E-02,9.2426
548,5.57E-01,5.16E-02,9.2673
549,5.59E-01,5.18E-02,9.2893
550,5.61E-01,5.22E-02,9.3075
551,5.60E-01,5.22E-02,9.3227
552,5.60E-01,5.22E-02,9.3327
553,5.61E-01,5.24E-02,9.334
554,5.62E-01,5.25E-02,9.3317
555,5.61E-01,5.24E-02,9.3259
556,5.56E-01,5.19E-02,9.3155
557,5.49E-01,5.12E-02,9.3
558,5.44E-01,5.05E-02,9.2786
559,5.42E-01,5.02E-02,9.2469
560,5.44E-01,5.02E-02,9.2087
561,5.48E-01,5.03E-02,9.1685
562,5.51E-01,5.03E-02,9.123
563,5.51E-01,5.00E-02,9.0687
564,5.49E-01,4.96E-02,9.0107
565,5.47E-01,4.90E-02,8.952
566,5.45E-01,4.86E-02,8.8895
567,5.44E-01,4.80E-02,8.8238
568,5.41E-01,4.74E-02,8.7563
569,5.37E-01,4.67E-02,8.6876
570,5.35E-01,4.61E-02,8.6182
571,5.37E-01,4.59E-02,8.5488
572,5.42E-01,4.59E-02,8.4802
573,5.48E-01,4.59E-02,8.4145
574,5.46E-01,4.55E-02,8.3514
575,5.43E-01,4.49E-02,8.2903
576,5.42E-01,4.45E-02,8.2317
577,5.41E-01,4.41E-02,8.1756
578,5.41E-01,4.37E-02,8.1173
579,5.42E-01,4.36E-02,8.0632
580,5.47E-01,4.37E-02,8.0181
581,5.51E-01,4.38E-02,7.9769
582,5.54E-01,4.39E-02,7.9425
583,5.55E-01,4.38E-02,7.9095
584,5.53E-01,4.35E-02,7.876
585,5.47E-01,4.30E-02,7.8453
586,5.42E-01,4.24E-02,7.8172
587,5.28E-01,4.13E-02,7.7915
588,5.11E-01,3.99E-02,7.7676
589,4.94E-01,3.85E-02,7.7458
590,4.95E-01,3.83E-02,7.7259
591,5.04E-01,3.88E-02,7.7077
592,5.14E-01,3.95E-02,7.6905
593,5.15E-01,3.95E-02,7.6743
594,5.15E-01,3.94E-02,7.6589
595,5.16E-01,3.94E-02,7.6432
