"","Chisq","Df","Pr(>Chisq)"
"(Intercept)",173.955030210969,1,1.01252327971495e-39
"forage",89.7253678412224,3,2.50924717007476e-19
"treatment",45.187837373409,2,1.54023075057394e-10
"forage:treatment",34.8917635769586,6,4.52265206427444e-06
